"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_B01","CO_B02","CO_B03","CO_B05","CO_B06","CO_B07","CO_B07B","CO_B07_OTHER","Basicweight"
2,1,1,1,2,1,1,1,"13:13","08/06/2022",1,42,1,8,,33.29115
2,1,1,1,2,1,1,2,"13:14","08/06/2022",1,51,2,999,,33.29115
2,1,1,1,2,1,1,5,"13:17","08/06/2022",2,26,6,3,,33.29115
2,1,1,1,2,1,1,3,"13:15","08/06/2022",1,60,3,999,,33.29115
2,1,1,1,2,1,1,4,"13:16","08/06/2022",2,48,5,999,,33.29115
3,2,1,1,2,1,1,5,"13:23","09/06/2022",1,30,11,999,,65.275125
3,2,1,1,2,1,1,4,"13:22","09/06/2022",2,42,2,999,,65.275125
3,2,1,1,2,1,1,3,"13:21","09/06/2022",1,36,3,999,,65.275125
3,2,1,1,2,1,1,1,"13:20","09/06/2022",1,42,1,9,,65.275125
3,2,1,1,2,1,1,2,"13:21","09/06/2022",2,28,11,3,,65.275125
4,3,1,1,1,1,1,5,"13:10","09/06/2022",1,65,4,9,,32.3729260273973
4,3,1,1,1,1,1,7,"13:13","09/06/2022",2,56,11,999,,32.3729260273973
4,3,1,1,1,1,1,2,"13:05","09/06/2022",1,31,3,999,,32.3729260273973
4,3,1,1,1,1,1,6,"13:12","09/06/2022",2,52,9,999,,32.3729260273973
4,3,1,1,1,1,1,3,"13:06","09/06/2022",2,32,5,999,,32.3729260273973
4,3,1,1,1,1,1,1,"12:58","09/06/2022",1,44,1,999,,32.3729260273973
4,3,1,1,1,1,1,4,"13:08","09/06/2022",2,46,2,999,,32.3729260273973
5,4,1,1,1,1,5,2,"12:26","10/06/2022",1,38,3,999,,10.1755732217573
5,4,1,1,1,1,5,4,"12:28","10/06/2022",2,30,6,999,,10.1755732217573
5,4,1,1,1,1,5,5,"12:29","10/06/2022",2,68,11,999,,10.1755732217573
5,4,1,1,1,1,5,3,"12:27","10/06/2022",1,36,4,555,4,10.1755732217573
5,4,1,1,1,1,5,1,"12:25","10/06/2022",2,40,5,1,,10.1755732217573
