"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_F01","CO_F01_YON","CO_F02","CO_F02B","CO_F02_OTHER","CO_F03","CO_F04","CO_F05","CO_F06","Basicweight"
2,1,1,1,2,1,1,12,1,1,,,20,0,,,33.29115
2,1,1,1,2,1,1,3,1,4,,,888,0,,,33.29115
2,1,1,1,2,1,1,6,1,1,,,350,1,300,320,33.29115
2,1,1,1,2,1,1,11,0,,,,,,,,33.29115
2,1,1,1,2,1,1,7,1,2,,,1500,1,1000,1100,33.29115
2,1,1,1,2,1,1,1,0,,,,,,,,33.29115
2,1,1,1,2,1,1,10,0,,,,,,,,33.29115
2,1,1,1,2,1,1,8,1,2,,,1550,1,1080,1250,33.29115
2,1,1,1,2,1,1,5,1,5,6,,900,1,780,800,33.29115
2,1,1,1,2,1,1,13,0,,,,,,,,33.29115
2,1,1,1,2,1,1,2,0,,,,,,,,33.29115
2,1,1,1,2,1,1,4,1,3,,,250,0,,,33.29115
2,1,1,1,2,1,1,9,0,,,,,,,,33.29115
3,2,1,1,2,1,1,11,0,,,,,,,,65.275125
3,2,1,1,2,1,1,3,1,4,,,888,0,,,65.275125
3,2,1,1,2,1,1,13,0,,,,,,,,65.275125
3,2,1,1,2,1,1,2,0,,,,,,,,65.275125
3,2,1,1,2,1,1,4,1,3,,,222,0,,,65.275125
3,2,1,1,2,1,1,9,0,,,,,,,,65.275125
3,2,1,1,2,1,1,10,0,,,,,,,,65.275125
3,2,1,1,2,1,1,6,1,1,,,350,1,300,330,65.275125
3,2,1,1,2,1,1,1,0,,,,,,,,65.275125
3,2,1,1,2,1,1,8,0,,,,,,,,65.275125
3,2,1,1,2,1,1,12,1,555,0,8,0,0,,,65.275125
3,2,1,1,2,1,1,5,1,5,8,,1200,1,1100,1150,65.275125
3,2,1,1,2,1,1,7,1,2,,,1500,0,,,65.275125
4,3,1,1,1,1,1,11,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,2,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,5,1,555,0,11,0,0,,,32.3729260273973
4,3,1,1,1,1,1,7,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,6,1,7,1,,350,1,300,350,32.3729260273973
4,3,1,1,1,1,1,10,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,3,1,4,,,888,0,,,32.3729260273973
4,3,1,1,1,1,1,1,1,1,,,1667,1,1400,1500,32.3729260273973
4,3,1,1,1,1,1,8,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,12,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,9,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,13,0,,,,,,,,32.3729260273973
4,3,1,1,1,1,1,4,0,,,,,,,,32.3729260273973
5,4,1,1,1,1,5,1,1,1,,,1200,1,1000,1300,10.1755732217573
5,4,1,1,1,1,5,7,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,12,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,3,1,4,,,888,0,,,10.1755732217573
5,4,1,1,1,1,5,5,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,4,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,13,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,6,1,8,33,,11000,1,10000,11000,10.1755732217573
5,4,1,1,1,1,5,9,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,2,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,8,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,11,0,,,,,,,,10.1755732217573
5,4,1,1,1,1,5,10,0,,,,,,,,10.1755732217573
6,5,1,1,1,1,1,9,0,,,,,,,,34.7765724137931
6,5,1,1,1,1,1,11,0,,,,,,,,34.7765724137931
