"Cluster","ED_ID","CI01","CI02","CI06","CI07","CI08","QE_B04","QE_B05","QE_B06","QE_B07","QE_B08","QE_B11","QE_B11_OTHER","QE_B12","QE_B13","QE_B13A","QE_B14A","QE_B14B","QE_B15A","QE_B15B","QE_B16","QE_B17","QE_B17_OTHER","QE_B18","QE_B18_OTHER","QE_B19","QE_B20","QE_B21","QE_B22","QE_B23","QE_B24A","QE_B24B","QE_B25","QE_B26","QE_B27A","QE_B27A_OTHER","QE_B27B","QE_B28","QE_B28_OTHER","QE_B29","QE_B30A","QE_B30B","QE_B31","QE_B32_1","QE_B32_2","QE_B32_3","QE_B33","QE_B34_1","QE_B34_2","QE_B34_3","QE_B34_4","QE_B35","QE_B36","QE_B37","QE_B38","QE_B39","QE_B40","QE_B40_OTHER","QE_B41","QE_B42","QE_B43","QE_B43_OTHER","QE_B44","QE_B45","QE_B46","QE_B46_OTHER","QE_B47","QE_B48","QE_B48_OTHER","QE_B49","QE_B50","QE_B51A","QE_B51B","QE_B51B_OTHER","QE_B52","QE_B53","QE_B54","QE_B55","QE_B56","QE_B57","QE_B58","QE_B58_OTHER","QE_B59","QE_B59_OTHER","QE_B60A","QE_B60B","QE_B60C","QE_B61A","QE_B61B","QE_B61C","QE_B62A","QE_B62B","QE_B62C","QE_B63A","QE_B63B","QE_B63C","QE_B64A","QE_B64B","QE_B64C","QE_B65A","QE_B65B","QE_B65C","QE_B66A","QE_B66B","QE_B66C","QE_B67A","QE_B67B","QE_B67C","QE_B68A","QE_B68B","QE_B68C","QE_B69A","QE_B69B","QE_B69C","QE_B70A","QE_B70B","QE_B70C","QE_B71A","QE_B71B","QE_B71C","QE_B72A","QE_B72B","QE_B72C","QE_B73A","QE_B73B","QE_B73C","QE_B74A","QE_B74B","QE_B74C","QE_B75A","QE_B75B","QE_B75C","QE_B76A","QE_B76B","QE_B76C","QE_B77A","QE_B77B","QE_B77C","QE_B78A","QE_B78B","QE_B78C","QE_B79_01","QE_B79_02","QE_B79_03","QE_B79_04","QE_B79_05","QE_B79_06","QE_B79_07","QE_B79_08","QE_B79_09","QE_B79_10","QE_B79_11","QE_B79_12","QE_B79_13","QE_B79_14","QE_B79_15","QE_B79_16","QE_B79_17","QE_B79_18","QE_B79_19","QE_B80","QE_B80_OTHER","QE_B81","QE_C01","QE_C02","QE_C03","QE_C04","QE_C05","QE_C06","QE_C06_1","QE_C06_2","QE_C06_3","QE_C06_4","QE_C06_5","QE_C06_6","QE_C06_7","QE_C06_8","QE_C10","QE_C11_1","QE_C11_2","QE_C11_3","QE_C11_4","QE_C11_5","QE_C11_6","QE_C11_7","QE_C11_OTHER","QE_C12_1","QE_C12_2","QE_C12_3","QE_C12_4","QE_C12_5","QE_C12_6","QE_C12_7","QE_C12_OTHER","QE_C12A","QE_C12B","QE_C13","QE_C13_OTHER","QE_C14","QE_C14_OTHER","QE_C15A","QE_C15B","QE_C16A","QE_C16B","QE_C17A","QE_C17A_UNITY","QE_C17B","QE_C17B_UNITY","QE_C18A","QE_C18B","QE_C19","QE_C20A","QE_C20B","QE_C20C","QE_C21","QE_C22","QE_C23","QE_C24","QE_C25","QE_C26","QE_C27_01","QE_C27_02","QE_C27_03","QE_C27_04","QE_C27_05","QE_C27_06","QE_C27_07","QE_C27_08","QE_C27_09","QE_C27_10","QE_C27_11","QE_C27_12","QE_C28","QE_C29","QE_C30","QE_C31","QE_C32_1","QE_C32_2","QE_C32_3","QE_C32_4","QE_C32_5","QE_C32_6","Basicweight"
2,1,1,1,2,2,1,2,6,1,1,7,4," ",54,1595,9,"6h00","17h00","888","888",1,,,1," ",24,1,2,1,1,2,120,1,0,1," ",100000,1," ",20000,273,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,1,1," ",0,0,,,,0,," ",2," ",0,,,0,,,0,,,0,,,1,1,1,1,279,1,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,8,0,0,,,0,,,,,,,1,1,,,,,,,,,,,,,,2," ",1,1,2,1595,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,38,4,,,380000,,2,120,360,90,2,1,4,1,2,2,,,1,1,,,,,,,,,2,4,,888,,,1,1,,,33.29115
3,2,1,1,2,2,1,1,4,6,1,1,555,"Nursery School",3,20,9,"7h30","17h30","888","888",1,,,1," ",12,0,,1,0,,,,0,1," ",7000,1," ",7000,200,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,5," ",0,0,,,,0,," ",2," ",1,4,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.275125
4,3,1,1,1,2,9,1,6,4,1,15,1," ",23,660,12,"6h00","17h00","888","888",1,,,1," ",12,1,1,1,0,,,,0,1," ",1125556,2," ",30000,284,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,1,7,0,1,30,0,0,,,1,1,0,1,109,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,1,3,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,529,1,2,"B",,1,,,,,,,5,,,,1,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,4,4,,,52000,,1,0,300,0,2,1,1,1,3,2,,,1,1,,,,,,,,,888,1,,111,1,1,,1,,,32.3729260273973
5,4,1,1,1,2,1,2,6,3,555,2,1," ",32,360,9,"6h30","16h00","888","888",1,,,1," ",12,0,,1,0,,,,0,1," ",888,2," ",888,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,0,,,1,32,0,1,1,0,0,,,1,2,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,360,1,1,"B",,1,,,,,,,3,1,,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,3,4,,,33000,,1,0,888,0,1,1,2,1,3,2,,,1,1,,,,,,1,1,,1,1,,888,,,,,1,,10.1755732217573
7,5,1,1,1,2,3,2,4,6,3,5,1," ",87,2283,12,"7h00","17h00","888","888",1,,,1," ",24,1,2,1,1,0,30,2,0,1," ",100000,2," ",1000000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",2," ",0,,,0,,,1,50,0,0,,,0,,,1,50,1,1,2,1,1,2,0,1,3,0,0,,,0,,,0,,,0,,,1,70,0,0,,,0,,,1,8,0,0,,,0,,,,,,,,1,1,,,,,,,,,,,,,555,"No user",1,1,1,2230,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,28,4,,,364000,,2,0,240,0,2,1,6,1,2,2,,,1,1,,,,,,,,,4,1,,888,,,,,1,,22.7114407894737
8,6,1,1,1,2,1,2,4,6,3,3,1," ",5,30,9,"7h00","12h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",310000,1," ",310000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,1,1," ",0,0,,,,0,," ",7," ",1,7,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,5,0,0,,,0,,,0,,,0,,,0,,,1,,,,,,,,,,,,,,,,,,,2," ",1,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8663050239234
9,7,1,1,1,2,1,2,6,4,3,6,2," ",84,994,10,"7h50","12h30","13h00","16h30",1,,,1," ",24,0,,1,0,,,,0,1," ",500000,1," ",600000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,1,3," ",5," ",0,,,1,60,0,1,80,0,0,,,1,2,0,1,80,0,1,2,0,1,10,0,0,,,0,,,0,,,1,2,0,0,,,1,20,0,0,,,1,22,0,1,5,0,1,2,0,1,2,0,,,,,,,,,,,,,,,,,,,,," ",,1,3,994,2,2,"A",1,,,,,,,,4,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,42,4,,,462000,,2,120,180,180,2,1,8,1,2,1,,,,,,,,,,,,,888,2,,888,,,1,1,,,19.4070469002695
10,8,1,1,1,2,1,2,6,3,4,28,3," ",15,120,12,"8h00","12h00","14h00","20h00",1,,,1," ",24,0,,1,1,1,60,888,0,1," ",200000,1," ",15000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,5," ",0,0,,,,0,," ",7," ",0,,,1,5,0,0,,,0,,,0,,,1,8,0,1,1,0,1,1,0,0,,,0,,,0,,,1,2,0,0,,,1,10,0,0,,,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3452229357798
11,9,1,1,1,2,1,2,6,2,4,2,1," ",45,300,9,"7h00","17h00","888","888",1,,,1," ",12,0,,1,1,1,60,2,0,1," ",888,1," ",10000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,5," ",0,0,,,,0,," ",7," ",0,,,0,,,0,,,1,20,0,0,,,1,5,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,1,6,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,300,1,1,"A",1,,,,,,,,5,,1,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,5,4,,,55000,,2,0,300,0,1,1,3,1,1,1,,,,,,,,,,,,,888,1,,888,,,1,,,,24.2731346260388
12,10,1,2,2,2,1,1,4,6,2,1,1," ",15,164,9,"7h20","13h30","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",1000000,1," ",5000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,19,1,0,,,0,,,0,,,0,,,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,1,,,,,,,,,,,,,,,,,,,3," ",,1,1,164,1,1,"A",1,,,,,,,,2,,1,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,2,4,,,20000,,2,0,240,0,2,1,2,2,1,1,,,,,,,,,,,,,888,555,,888,,1,,1,,,30.805986784141
