"Cluster","HL_ID","CI01","CI02","CI06","CI07","CI08","HL_B01","HL_B02","HL_B04","HL_B05","HL_B06","HL_B07","HL_B08","HL_B11","HL_B12","HL_B13","HL_B14A","HL_B14B","HL_B15A","HL_B15","HL_B16A","HL_B16B","HL_B17A","HL_B17B","HL_B18","HL_B19","HL_B20","HL_B21","HL_B22","HL_B23","HL_B24","HL_B25","HL_B26","HL_B26_UNITY","HL_B27","HL_B28A","HL_B28B","HL_B29","HL_B30","HL_B31A","HL_B31B","HL_B32","HL_B33_1","HL_B33_2","HL_B33_3","HL_B34","HL_B35","HL_B36","HL_B37","HL_B38","HL_B39","HL_B40","HL_B41","HL_B42","HL_B43","HL_B44","HL_B45","HL_B46","HL_B47","HL_B48","HL_B49","HL_B50","HL_B51","HL_B52A","HL_B52B","HL_B53","HL_B54","HL_B55","HL_B56","HL_B57","HL_B58","HL_B59","HL_B60","HL_B61A","HL_B61B","HL_B61C","HL_B61D","HL_B62A","HL_B62B","HL_B62C","HL_B62D","HL_B63A","HL_B63B","HL_B63C","HL_B63D","HL_B64A","HL_B64B","HL_B64C","HL_B64D","HL_B65A","HL_B65B","HL_B65C","HL_B65D","HL_B66A","HL_B66B","HL_B66C","HL_B66D","HL_B67A","HL_B67B","HL_B67C","HL_B67D","HL_B68A","HL_B68B","HL_B68C","HL_B68D","HL_B69A","HL_B69B","HL_B69C","HL_B69D","HL_B70A","HL_B70B","HL_B70C","HL_B70D","HL_B71A","HL_B71B","HL_B71C","HL_B71D","HL_B72A","HL_B72B","HL_B72C","HL_B72D","HL_B73A","HL_B73B","HL_B73C","HL_B73D","HL_B74A","HL_B74B","HL_B74C","HL_B74D","HL_B75A","HL_B75B","HL_B75C","HL_B75D","HL_B76A","HL_B76B","HL_B76C","HL_B76D","HL_B77A","HL_B77B","HL_B77C","HL_B77D","HL_B78A","HL_B78B","HL_B78C","HL_B78D","HL_B79A","HL_B79B","HL_B79C","HL_B79D","HL_B80A","HL_B80B","HL_B80C","HL_B80D","HL_B81A","HL_B81B","HL_B81C","HL_B81D","HL_B82A","HL_B82B","HL_B82C","HL_B82D","HL_B83A","HL_B83B","HL_B83C","HL_B83D","HL_B84A","HL_B84B","HL_B84C","HL_B84D","HL_B85A","HL_B85B","HL_B85C","HL_B85D","HL_B86A","HL_B86B","HL_B86C","HL_B86D","HL_B87A","HL_B87B","HL_B87C","HL_B87D","HL_B88A","HL_B88B","HL_B88C","HL_B88D","HL_B89A","HL_B89B","HL_B89C","HL_B89D","HL_B90A","HL_B90B","HL_B90C","HL_B90D","HL_B91A","HL_B91B","HL_B91C","HL_B91D","HL_B92A","HL_B92B","HL_B92C","HL_B92D","HL_B93A","HL_B93B","HL_B93C","HL_B93D","HL_B94_01","HL_B94_02","HL_B94_03","HL_B94_04","HL_B94_05","HL_B94_06","HL_B94_07","HL_B94_08","HL_B94_09","HL_B94_10","HL_B94_11","HL_B94_12","HL_B94_13","HL_B94_14","HL_B94_15","HL_B94_16","HL_B94_17","HL_B94_18","HL_B94_19","HL_B94_20","HL_B94_21","HL_B94_22","HL_B94_23","HL_B94_24","HL_B94_25","HL_B94_26","HL_B94_27","HL_B94_28","HL_B94_29","HL_B94_30","HL_B94_31","HL_B94_32","HL_B94_33","HL_B95","HL_B95_OTHER","HL_B96","HL_B97","Basicweight"
2,1,1,1,2,3,1,"14:31","08/06/2022",1,6,4,5,,1,1,24,80,30,12,1,,,,,1,,1,24,0,,1,1,30,2,0,1,399990,1,900000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,1,99,1,1,0,,,,0,,,,1,2,1,1,0,,,,1,8,1,0,1,3,1,0,1,4,3,1,0,,,,0,,,,0,,,,1,6,1,1,1,5,1,0,0,,,,1,99,1,0,1,1,1,0,1,4,1,0,1,3,1,0,0,,,,1,2,1,0,1,1,1,0,1,6,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,2,1,0,1,20,1,0,0,,,,0,,,,0,,,,1,8,1,0,0,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,2," ",1,"15:15",33.29115
3,2,1,1,2,3,1,"14:41","09/06/2022",1,6,13,5,,1,1,30,60,19,12,1,,,,,1,,1,24,0,,1,0,,2,,1,300000,1,1500000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,4,7,1,30,2,0,1,10,2,0,0,,,,0,,,,1,1,2,0,0,,,,1,6,2,0,1,1,2,0,1,2,2,0,0,,,,0,,,,0,,,,1,3,2,0,0,,,,0,,,,0,,,,0,,,,1,2,888,0,1,2,888,0,0,,,,1,2,888,0,1,1,888,0,1,2,2,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,1,888,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"15:12",65.275125
4,3,1,1,1,3,1,"10:19","09/06/2022",1,6,3,4,,1,3,49,300,30,12,1,,,,,1,,1,23,0,,1,1,30,2,0,1,399000,1,750000,283,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,1,3,7,0,,,,1,20,888,0,0,,,,1,15,888,0,1,3,888,0,1,1,888,0,1,32,888,0,1,6,888,0,1,2,888,0,0,,,,1,1,888,0,0,,,,1,5,888,0,1,2,888,0,0,,,,1,32,888,0,0,,,,1,3,888,0,1,2,888,0,0,,,,1,3,888,0,1,1,888,0,1,1,888,0,0,,,,1,5,888,0,0,,,,1,4,888,0,1,1,888,0,0,,,,0,,,,0,,,,1,3,888,0,1,1,888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"15:05",32.3729260273973
6,4,1,1,1,3,6,"12:42","08/06/2022",2,6,4,5,,1,1,36,300,0,12,1,,,,,1,,1,20,1,1,1,2,45,2,0,1,240000,1,300000,213,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,2,0,,,,1,3,1,0,0,,,,0,,,,1,1,1,0,1,1,1,0,1,15,1,0,1,5,1,0,1,3,1,1,0,,,,0,,,,0,,,,1,4,1,1,0,,,,0,,,,0,,,,0,,,,1,2,888,0,1,1,1,1,0,,,,1,3,1,1,1,1,1,0,1,3,1,1,0,,,,0,,,,0,,,,1,1,3,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,1,,,,1,,,,,,1,,1,,1,,,,1,,,,,,,555,"donation",1,"13:13",34.7765724137931
8,5,1,1,1,3,1,"12:15","10/06/2022",2,6,3,4,,1,1,37,150,17,12,1,,,,,1,,1,22,0,,1,5,60,2,0,1,450000,1,1200000,294,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,1,3,2,1,60,1,0,1,10,1,0,0,,,,0,,,,1,2,1,1,1,1,1,0,1,11,1,0,1,4,1,0,1,3,3,1,0,,,,0,,,,0,,,,1,4,1,0,0,,,,0,,,,1,20,1,1,0,,,,1,3,888,0,0,,,,0,,,,1,2,1,0,1,1,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,1,3,0,0,,,,0,,,,0,,,,0,,,,1,3,1,1,0,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,2," ",1,"13:09",28.8663050239234
9,6,1,1,1,3,1,"14:05","08/06/2022",2,6,4,5,,1,1,33,100,10,12,1,,,,,1,,1,24,0,,1,4,2,1,0,1,349980,1,349980,300,1,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,1,3,7,0,,,,1,99,2,0,0,,,,0,,,,1,1,2,0,1,1,2,0,1,20,2,0,1,7,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,7,2,0,1,7,2,0,1,1,888,0,1,99,2,0,1,1,2,0,1,3,2,0,0,,,,0,,,,1,3,2,0,1,2,2,0,1,2,2,0,1,1,2,0,1,1,2,0,1,1,2,0,1,2,2,0,1,3,2,0,0,,,,1,1,2,0,0,,,,1,1,2,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"14:23",19.4070469002695
10,7,1,1,1,3,1,"12:44","09/06/2022",1,7,1,5,,1,3,50,300,9,12,0,700,1200,1200,1700,1,,1,10,1,2,1,1,30,2,0,1,399990,1,450000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,3,1,2,1,0,1,50,1,0,0,,,,0,,,,1,1,1,0,1,1,3,0,1,18,1,0,1,2,3,0,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,50,1,1,1,1,1,0,1,4,3,0,1,2,3,0,1,1,1,0,1,1,3,0,1,3,3,0,1,1,1,0,1,1,1,0,1,1,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,1,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,555,"It's not planned",1,"13:38",45.3452229357798
12,8,1,2,2,3,1,"11:55","09/06/2022",2,6,7,5,,1,1,20,100,12,12,1,,,,,1,,1,24,0,,1,0,,2,,1,600000,1,180000,300,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,4,7,0,,,,0,,,,0,,,,0,,,,1,1,1,0,1,1,1,0,1,10,1,0,1,2,1,0,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,18,1,0,0,,,,1,2,888,0,1,1,1,0,0,,,,1,2,1,0,1,1,1,0,0,,,,1,1,1,0,0,,,,0,,,,1,1,1,0,1,1,1,0,1,1,1,0,0,,,,0,,,,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"13:13",30.805986784141
14,9,1,2,1,3,1,"11:32","09/06/2022",1,6,3,5,,1,1,32,170,9,12,1,,,,,1,,1,24,0,,1,0,,2,,1,150000,1,450000,226,1,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,0,,7,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,1,13,1,0,1,3,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,1,21,1,0,0,,,,1,3,3,0,1,2,1,0,0,,,,1,2,1,0,1,1,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,2,3,0,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"11:59",27.6634577777778
18,10,1,2,2,3,1,"13:54","06/06/2022",2,6,20,5,,1,1,63,3500,13,12,1,,,,,1,,1,24,0,,1,1,5,2,0,1,150000,1,1200000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,3,5,1,69,1,0,1,16,1,0,0,,,,0,,,,1,1,1,0,0,,,,1,17,1,0,1,1,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,5,1,0,0,,,,1,3,888,0,1,1,1,0,0,,,,1,3,1,0,1,1,1,0,1,2,1,0,0,,,,0,,,,1,1,888,0,1,4,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"14:06",41.0282164502164
