"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","A01","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A13_OTHER","A14","A15","A15_OTHER","A16","A17","A18","A19","A19_OTHER","A20","A22","A22B","A22B_OTHER","hhid","camp","ref_weight"
1,11,1,1,1,1,400.7663,3,1,13,18,1,1,2,1,7,1,1,," ",,," ",2,2021,"Rulindo",1,,2,,,,110100101,,
1,11,1,1,1,1,400.7663,1,2,1,33,1,1,2,1,2,1,1,," ",,," ",2,2019,"Gasabo",4,,1,1,1,,110100101,,
1,11,1,1,1,1,400.7663,5,1,3,0,0,,,,,,,," ",,," ",,,,,,,,,,110100101,,
1,11,1,1,1,1,400.7663,4,1,3,7,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110100101,,
1,11,1,1,1,1,400.7663,2,1,9,22,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110100101,,
1,11,1,1,3,1,400.7663,1,1,1,31,1,0,,1,2,1,1,," ",,," ",1,,,,,6,1,1,,110100301,,
1,11,1,1,3,1,400.7663,2,2,2,30,1,1,2,1,2,1,1,," ",,," ",1,,,,,1,,,,110100301,,
1,11,1,1,3,1,400.7663,5,2,3,9,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110100301,,
1,11,1,1,3,1,400.7663,4,1,3,11,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110100301,,
1,11,1,1,3,1,400.7663,3,1,3,12,1,1,1,1,7,1,1,," ",,," ",1,,,,,6,,,,110100301,,
1,11,1,1,3,1,400.7663,6,2,3,3,0,,,,,,,," ",,," ",,,,,,,,,,110100301,,
1,11,1,1,4,1,400.7663,2,2,2,70,1,0,,1,1,1,1,," ",,," ",1,,,,,2,,,,110100401,,
1,11,1,1,4,1,400.7663,5,2,4,22,1,1,4,1,7,1,1,," ",,," ",1,,,,,2,,,,110100401,,
1,11,1,1,4,1,400.7663,6,2,4,17,1,1,2,1,7,1,1,," ",,," ",1,,,,,4,,,,110100401,,
1,11,1,1,4,1,400.7663,1,1,1,75,1,1,4,1,1,1,1,," ",,," ",1,,,,,6,2,,,110100401,,
1,11,1,1,4,1,400.7663,4,1,3,29,1,1,4,1,7,1,1,," ",,," ",1,,,,,6,,,,110100401,,
1,11,1,1,4,1,400.7663,3,2,3,42,1,1,2,1,2,1,1,," ",,," ",1,,,,,2,,,,110100401,,
1,11,1,1,7,1,400.7663,2,2,2,26,1,1,4,1,1,1,1,," ",,," ",2,2021,"Huye",3,,1,,,,110100701,,
1,11,1,1,7,1,400.7663,1,1,1,27,1,1,4,1,1,1,1,," ",,," ",1,,,,,6,1,1,,110100701,,
1,11,1,1,7,1,400.7663,3,1,3,0,0,,,,,,,," ",,," ",,,,,,,,,,110100701,,
1,11,1,1,8,1,400.7663,4,2,3,15,1,1,2,1,7,1,1,," ",,," ",2,2020,"Rwamagana",4,,3,,,,110100801,,
1,11,1,1,8,1,400.7663,3,2,3,17,1,1,2,1,7,1,1,," ",,," ",2,2019,"Rwamagana",4,,2,,,,110100801,,
1,11,1,1,8,1,400.7663,6,1,3,6,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110100801,,
1,11,1,1,8,1,400.7663,8,1,3,1,0,,,,,,,," ",,," ",,,,,,,,,,110100801,,
1,11,1,1,8,1,400.7663,7,2,3,4,0,,,,,,,," ",,," ",,,,,,,,,,110100801,,
1,11,1,1,8,1,400.7663,2,2,2,35,1,1,2,1,1,1,1,," ",,," ",1,,,,,1,,,,110100801,,
1,11,1,1,8,1,400.7663,1,1,1,39,1,1,4,1,1,1,1,," ",,," ",1,,,,,6,2,,,110100801,,
1,11,1,1,8,1,400.7663,5,1,3,8,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110100801,,
1,11,1,1,9,1,400.7663,1,1,1,28,1,1,2,1,2,1,1,," ",,," ",2,2019,"Muhanga",1,,6,1,4,,110100901,,
1,11,1,1,9,1,400.7663,2,2,2,21,1,1,2,1,2,1,1,," ",,," ",2,2019,"Kamonyi",3,,1,,,,110100901,,
1,11,1,1,9,1,400.7663,3,1,3,1,0,,,,,,,," ",,," ",,,,,,,,,,110100901,,
1,11,1,1,10,1,400.7663,1,1,1,49,1,1,2,1,2,2,1,4," ",1994,555,"Returnee",,,"Muhanga",,,1,2,,,110101001,,
1,11,1,1,10,1,400.7663,2,2,2,43,1,1,4,1,2,1,1,," ",,," ",1,,,,,1,,,,110101001,,
1,11,1,1,11,1,400.7663,1,1,1,34,1,1,4,1,1,1,1,," ",,," ",1,,,,,3,1,4,,110101101,,
1,11,1,1,11,1,400.7663,4,2,3,11,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110101101,,
1,11,1,1,11,1,400.7663,5,1,3,8,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110101101,,
1,11,1,1,11,1,400.7663,6,2,3,6,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110101101,,
1,11,1,1,11,1,400.7663,3,2,3,13,1,1,2,1,7,1,1,," ",,," ",1,,,,,3,,,,110101101,,
1,11,1,1,11,1,400.7663,2,2,2,33,1,1,4,1,1,1,1,," ",,," ",1,,,,,1,,,,110101101,,
1,11,1,1,13,1,50.5471009009009,1,1,1,33,1,1,3,1,1,1,1,," ",,," ",2,2020,"Muhanga",1,,2,1,8,27,110101301,,
1,11,1,1,14,1,400.7663,6,1,7,70,1,1,2,1,8,1,1,," ",,," ",2,2014,"Ngoma",5,,6,,,,110101401,,
1,11,1,1,14,1,400.7663,3,2,3,38,1,1,5,1,7,1,1,," ",,," ",1,,,,,2,,,,110101401,,
1,11,1,1,14,1,400.7663,7,2,3,27,1,1,2,1,7,1,1,," ",,," ",1,,,,,1,,,,110101401,,
1,11,1,1,14,1,400.7663,2,2,3,39,1,1,5,1,7,1,1,," ",,," ",1,,,,,2,,,,110101401,,
1,11,1,1,14,1,400.7663,4,2,4,13,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110101401,,
1,11,1,1,14,1,400.7663,5,1,4,9,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110101401,,
1,11,1,1,14,1,400.7663,1,2,1,72,1,1,3,1,8,1,1,," ",,," ",1,,,,,6,2,,,110101401,,
1,11,1,1,15,1,400.7663,1,1,1,26,1,1,2,1,7,1,1,," ",,," ",2,2019,"Kicukiro",1,,1,1,4,,110101501,,
1,11,1,1,16,1,400.7663,1,1,1,37,1,1,4,1,2,1,1,," ",,," ",1,,,,,5,1,5,,110101601,,
1,11,1,1,16,1,400.7663,4,1,9,28,1,1,4,1,7,1,1,," ",,," ",1,,,,,5,,,,110101601,,
1,11,1,1,16,1,400.7663,6,2,13,22,1,1,4,1,7,1,1,," ",,," ",1,,,,,1,,,,110101601,,
1,11,1,1,16,1,400.7663,3,1,9,30,1,1,4,1,7,1,1,," ",,," ",1,,,,,6,,,,110101601,,
1,11,1,1,16,1,400.7663,2,2,2,32,1,1,4,1,2,1,1,," ",,," ",1,,,,,1,,,,110101601,,
1,11,1,1,16,1,400.7663,5,2,3,1,0,,,,,,,," ",,," ",,,,,,,,,,110101601,,
1,11,1,1,17,1,400.7663,1,2,1,49,1,1,4,1,8,1,1,," ",,," ",1,,,,,1,1,8,40,110101701,,
1,11,1,1,17,1,400.7663,2,2,3,24,1,1,4,1,7,1,1,," ",,," ",1,,,,,1,,,,110101701,,
1,11,1,1,17,1,400.7663,5,2,14,39,1,0,,1,7,1,1,," ",,," ",1,,,,,6,,,,110101701,,
1,11,1,1,17,1,400.7663,3,1,3,22,1,1,2,1,7,1,1,," ",,," ",1,,,,,1,,,,110101701,,
1,11,1,1,17,1,400.7663,6,1,12,16,1,1,2,1,7,1,2,," ",,," ",1,,,,,6,,,,110101701,,
1,11,1,1,17,1,400.7663,4,2,3,19,1,1,4,1,7,1,1,," ",,," ",1,,,,,6,,,,110101701,,
