"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","C128","C135_6","C135_Other","C144","C144_OTHER","C149A","C149B","C149_OTHER","C129","C130","C131","C132","C133","C134","C135_1","C135_2","C135_3","C135_4","C135_5","C136","C137_1","C137_2","C137_3","C137_4","C137_5","C137_6","C138","C139","C140","C141","C142","C143","C145","C146","C147","C148","C150","C151","hhid","camp","ref_weight"
2,6,105.421975,1,11,2,1,2,,,,,111,111,,2,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",1,10000,0,1,1,,1,110200601,,
2,6,105.421975,1,11,2,1,1,,,,,7,3,,3,1,1,1,3,1,1,,,,,1,,,,,,,3,888,1,1,"01",1,11400,1,1,12,0,1,110200601,,
3,4,179.50659375,1,11,2,1,1,555,18,2,,1,111,,3,1,1,1,4,0,,,,,,1,,,,,,,2,17,1,5,"01",2,,,1,4,,1,110300401,,
12,7,73.1642186123348,1,12,2,1,1,555,9,,,1,111,,1,1,1,1,1,0,,,,,,1,,,,,,,1,,,1,"01",1,5000,1,0,3,,3,121200701,,
18,2,947.7518,1,12,2,1,1,,,2,,111,111,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,888,0,5,"01",2,,,0,12,,2,121800201,,
18,3,143.598757575758,1,12,2,1,3,,,3,,111,111,,3,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,1,,4,121800301,,
18,3,143.598757575758,1,12,2,1,1,,,,,3,4,,3,1,1,1,5,1,1,,,,,1,,,,,,,3,100,1,1,"01",1,30000,1,1,24,1,1,121800301,,
18,3,143.598757575758,1,12,2,1,2,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",1,10000,0,0,2,,3,121800301,,
18,12,947.7518,1,12,2,1,1,,,,,111,111,,2,1,1,1,4,0,,,,,111,0,,,,,111,,2,10,0,7,"01",1,130000,1,0,4,,3,121801201,,
18,13,143.598757575758,1,12,2,1,1,,,,,111,111,,3,1,1,1,3,0,,,,,111,0,,,,,111,,2,17,0,8,"01",1,250000,1,0,3,,1,121801301,,
19,4,44.8755496875,1,12,1,1,1,,,,,111,111,,3,1,1,0,3,0,1,,,,,1,,,,,,,3,888,0,3,"02",1,485000,1,1,12,,1,121900401,,
20,2,604.193264109589,1,12,2,1,1,,,,,2,111,,3,1,1,1,4,1,1,,,,,1,,,,,,,3,50,0,1,"0102",1,30000,1,1,16,,1,122000201,,
20,14,604.193264109589,1,12,2,1,1,,,2,,111,111,,3,1,1,1,3,1,,,,,111,0,,,,,111,,2,12,1,5,"01",2,,,0,12,,2,122001401,,
22,3,16.4555545454545,1,12,1,1,1,,,,,1,3,,3,1,1,1,3,1,1,,,1,,1,,,,,,,3,888,0,3,"01",1,2000,1,1,3,,1,122200301,,
22,13,16.4555545454545,1,12,1,1,2,555,3,1,,111,111,,2,0,1,0,1,0,,,,,,1,,,,,,,2,12,0,3,"01",2,,,0,888,,555,122201301,,
22,13,16.4555545454545,1,12,1,1,3,555,3,555,4,111,111,,3,0,1,0,1,0,,,,,,1,,,,,,,3,888,0,1,"01",2,,,0,2,,555,122201301,,
22,13,16.4555545454545,1,12,1,1,1,,,,,1,3,,3,1,1,1,2,0,1,,,,,1,,,,,,,3,888,0,3,"01",1,30000,1,0,888,,1,122201301,,
27,3,4.94499531914893,1,12,1,1,1,,,,,3,555,12,2,1,1,1,4,1,,,,,111,0,,,,,111,,2,22,0,5,"01",1,285000,1,0,5,,1,122700301,,
27,3,4.94499531914893,1,12,1,1,2,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,5,"01",1,285000,1,0,3,,1,122700301,,
29,5,467.7392,1,12,1,1,1,,,,,3,6,,2,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,3,"01",1,180000,1,1,1,,3,122900501,,
34,1,597.105425,1,12,2,1,1,555,18,2,,111,111,,1,1,1,1,3,0,,,,,,1,,,,,,,2,82,0,5,"01",2,,,0,12,,2,123400101,,
40,6,637.3517,1,13,1,1,1,,,,,111,111,,1,1,1,1,1,1,1,,,1,,1,,,,,,,3,888,1,6,"0102",1,8000,1,1,888,,1,134000601,,
44,8,288.16761849711,1,13,1,1,1,,,,,7,1,,2,1,1,1,2,1,,,,,111,0,,,,,111,,2,12,0,2,"01",1,15000,1,0,3,0,2,134400801,,
45,1,25.6564893103448,1,13,1,1,1,555,14,,,1,111,,2,1,1,1,4,1,,,,,,1,,,,,,,2,888,1,6,"01",1,130000,1,1,6,,1,134500101,,
48,15,1223.457,1,13,1,1,1,555,20,,,111,111,,3,1,1,0,1,0,,,,,,1,,,,,,,3,60,0,1,"01",1,900000,1,1,1,,1,134801501,,
50,7,70.7120706467662,2,21,1,1,1,555,17,555,5,111,111,,3,1,1,0,3,1,,,,,,1,,,,,,,3,888,1,5,"01",2,,,0,12,,1,215000702,,
52,4,1357.81097435897,2,21,2,1,1,,,,,111,111,,1,1,1,1,1,1,,,,,111,0,,,,,111,,1,,,3,"02",1,25000,1,0,3,,3,215200402,,
52,18,1357.81097435897,2,21,2,1,1,,,,,4,111,,1,1,1,1,1,1,,,,,111,0,,,,,111,,1,,,3,"01",1,25000,1,0,5,0,4,215201802,,
53,8,1158.7450875,2,21,2,1,2,555,14,3,,111,111,,2,0,1,0,2,0,,,,,,1,,,,,,,2,888,0,1,"01",2,,,0,2,,3,215300802,,
53,8,1158.7450875,2,21,2,1,1,,,3,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,2,,3,215300802,,
54,10,429.702488636364,2,21,2,1,1,,,,,2,3,,2,1,1,1,4,1,,,,,111,0,,,,,111,,2,15,0,2,"01",1,240000,1,1,12,,1,215401002,,
54,12,995.1005,2,21,2,1,1,555,3,,,111,111,,2,1,1,0,3,0,,,,,,1,,,,,,,2,888,0,2,"01",1,80000,1,1,3,,2,215401202,,
55,4,1326.08,2,21,2,1,1,,,,,3,111,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,32,1,1,"02",1,31460,0,1,12,,4,215500402,,
55,9,1326.08,2,21,2,1,2,,,,,111,111,,2,0,1,1,3,1,,,,,111,0,,,,,111,,2,6,0,1,"0102",1,18700,1,1,24,,3,215500902,,
55,9,1326.08,2,21,2,1,3,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"0102",1,18700,1,1,3,,3,215500902,,
55,9,1326.08,2,21,2,1,1,,,,,111,111,,3,1,1,1,3,1,,,,,111,0,,,,,111,,2,6,0,1,"0102",1,18700,1,1,24,,3,215500902,,
55,14,1326.08,2,21,2,1,2,555,3,,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,34,0,1,"01",1,2300,1,0,3,,1,215501402,,
55,14,1326.08,2,21,2,1,1,555,18,,,2,111,,1,0,1,1,2,0,,,,,,1,,,,,,,2,34,0,1,"01",1,2300,1,0,3,,1,215501402,,
55,16,1326.08,2,21,2,1,1,,,,,6,3,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,32,0,1,"01",1,72000,1,1,11,,1,215501602,,
55,18,1326.08,2,21,2,1,2,555,3,,,111,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,34,0,1,"01",1,2100,1,0,4,,1,215501802,,
55,18,1326.08,2,21,2,1,3,555,14,,,111,111,,1,0,1,0,2,0,,,,,,1,,,,,,,1,,,1,"01",1,2100,1,0,4,,1,215501802,,
55,18,1326.08,2,21,2,1,1,555,18,,,111,111,,2,0,1,0,3,0,,,,,,1,,,,,,,2,888,0,1,"01",1,2100,1,0,3,,1,215501802,,
55,18,1326.08,2,21,2,1,4,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,3,"01",1,2100,1,0,3,,1,215501802,,
56,10,169.8456,2,22,2,3,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,5,"01",1,27000,0,1,2,,3,225601002,,
56,16,169.8456,2,22,2,3,1,,,,,7,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,3,"0102",1,75000,0,1,2,1,1,225601602,,
