"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","D1","D_TIER","D_PRICE","D2","D3","D4","D5","D6","D7","D07_OTHER","E00A","E01A","E01B","E01C","E02A","E02B","E02C","E03A","E03B","E03C","E04A","E04B","E04C","E05A","E05B","E05C","E06A","E06B","E06C","E07A","E07B","E07C","E08A","E08B","E09A","E09B","E09C","E10A","E10B","E10C","E11A","E11B","E13A","E13B","E14A","E14B","E15A","E15B","E16A","E16B","E17A","E17B","E18A","E18B","E20A","E20B","E21A","E21B","E22A","E22B","E23A","E23B","E24A","E24B","E26A","E26B","E27A","E27B","E28A","E28B","E29A","E29B","E30A","E30B","E30C","E31A","E31B","E31C","E32A","E32B","E32C","E33A","E33B","E34A","E34B","E35A","E35B","E37A","E37B","E38","E38_OTHER","F01","F10","F10_OTHER","hhid","camp","ref_weight"
1,11,1,1,1,1,400.7663,,,," ",,,,,,,1,0,,,0,,,4,1,11,0,,,0,,,0,,,1,1,10,1,1,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,1,1,0,,,0,,,1,1,4,0,,0,,0,,0,,3,,"01",1,,110100101,,
1,11,1,1,3,1,400.7663,,,," ",,,,,,,0,0,,,0,,,4,1,5,0,,,1,1,3,1,1,1,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,0,,,0,,,1,1,3,1,1,0,,0,,0,,2,,"02",1,,110100301,,
1,11,1,1,4,1,400.7663,,,," ",,,,,,,0,0,,,0,,,4,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"02",111,,110100401,,
1,11,1,1,7,1,400.7663,,,," ",,,,,,,0,0,,,0,,,5,1,5,0,,,1,1,3,1,1,6,1,1,6,0,,0,,,0,,,0,,1,1,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,0,,,0,,,1,1,4,1,1,0,,0,,0,,2,,"02",111,,110100701,,
1,11,1,1,8,1,400.7663,,,," ",,,,,,,0,0,,,0,,,4,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"02",1,,110100801,,
1,11,1,1,9,1,400.7663,,,," ",,,,,,,0,0,,,0,,,3,1,12,0,,,0,,,0,,,1,1,3,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"02",111,,110100901,,
1,11,1,1,10,1,400.7663,,,," ",,,,,,,0,0,,,0,,,6,1,4,0,,,0,,,0,,,1,1,1,0,,0,,,1,1,12,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,1,1,0,,,1,1,1,0,,,1,1,0,,0,,0,,4,,"02",111,,110101001,,
1,11,1,1,11,1,400.7663,,,," ",,,,,,,0,0,,,0,,,8,1,12,0,,,0,,,0,,,1,1,2,0,,0,,,1,1,23,0,,1,1,0,,1,1,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,1,1,2,1,0,,0,,,0,,,1,1,5,0,,0,,0,,0,,2,,"02",1,,110101101,,
1,11,1,1,13,1,50.5471009009009,111,2,215000,"01",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",111,,110101301,,
1,11,1,1,14,1,400.7663,,,," ",,,,,,,0,0,,,0,,,8,1,10,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,3,1,2,1,0,,,1,1,3,0,,,0,,0,,0,,0,,4,,"01",1,,110101401,,
1,11,1,1,15,1,400.7663,,,," ",,,,,,,0,0,,,0,,,2,0,8,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"01",111,,110101501,,
1,11,1,1,16,1,400.7663,,,," ",,,,,,,0,0,,,0,,,5,1,12,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,1,1,1,0,,,0,,,1,1,6,0,,0,,0,,0,,4,,"01",111,,110101601,,
1,11,1,1,17,1,400.7663,,,," ",,,,,,,0,0,,,0,,,3,1,10,0,,,0,,,0,,,0,,,3,1,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,1,1,0,,,1,1,6,0,,,0,,0,,0,,0,,4,,"01",1,,110101701,,
1,11,1,1,19,1,400.7663,,,," ",,,,,,,0,0,,,0,,,6,1,6,0,,,0,,,1,1,5,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,0,,,0,,,1,1,9,0,,0,,0,,0,,4,,"01",1,,110101901,,
1,11,1,1,20,1,400.7663,,,," ",,,,,,,0,0,,,0,,,3,1,11,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,2,1,0,,,0,,,0,,,0,,0,,0,,0,,4,,"01",1,,110102001,,
1,11,2,2,1,1,221.941,,,," ",,,,,,,0,3,1,12,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"01",1,,110200101,,
