"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","G01","G02","G02A","G02B","G28","G29","G30","G31","G32","G33","G34","G35A","G35B","G36A","G36B","G37A","G37B","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G48_AREA_OTHER","G49_SQUARE","G49_L","G49_W","G49_CERCLE","G50","G51","G52","G53","G54","G54_OTHER","G55_1","G55_2","G55_3","G55_4","G55_5","G55_6","G55_7","G55_8","G55_9","G55_10","G55_OTHER","hhid","camp","ref_weight"
1,11,1,1,1,1,400.7663,"01",240,1,2,,,,,,,,0,,0,,0,,2,2,2,4,4,3,4,4,1,1,2,,,4,3,,1,6,2,1,2,,,,,,,,,,,," ",110100101,,
1,11,1,1,3,1,400.7663,"02",120,1,2,,,,,,,,1,0,1,0,0,,4,2,3,2,2,3,5,2,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110100301,,
1,11,1,1,4,1,400.7663,"02",180,1,2,,,,,,,,0,,0,,0,,1,2,2,2,2,3,4,1,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110100401,,
1,11,1,1,7,1,400.7663,"02",120,1,1,,,,,,,,1,0,1,2,1,0,4,1,3,2,2,2,5,3,1,0,2,,,3,2,,1,3,1,1,1,,,,,,,,,,,," ",110100701,,
1,11,1,1,8,1,400.7663,"02",120,1,2,,,,,,,,0,,1,0,0,,3,1,3,2,2,3,5,3,1,1,2,,,3,2,,1,3,1,1,1,,,,,,,,,,,," ",110100801,,
1,11,1,1,9,1,400.7663,"02",180,1,2,,,,,,,,0,,1,1,0,,1,2,5,5,1,888,5,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110100901,,
1,11,1,1,10,1,400.7663,"02",150,1,1,,,,,,,,1,888,0,,0,,4,5,2,1,2,1,5,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110101001,,
1,11,1,1,11,1,400.7663,"02",90,1,2,3,3,3,5,3,5,5,0,,0,,0,,4,4,1,2,1,2,5,2,1,1,2,,,5,3,,1,5,2,1,5,,,,,,,,,,,," ",110101101,,
1,11,1,1,13,1,50.5471009009009,"01",240,1,2,,,,,,,,0,,0,,0,,5,5,5,4,1,1,5,5,0,,,,,,,,,,,,6,,,,,,,,,,,," ",110101301,,
1,11,1,1,14,1,400.7663,"07",240,1,2,3,3,3,5,3,5,5,0,,0,,0,,2,2,4,4,2,2,5,2,1,1,2,,,5,4,,1,4,2,1,2,,,,,,,,,,,," ",110101401,,
1,11,1,1,15,1,400.7663,"01",120,1,2,,,,,,,,0,,0,,0,,4,2,888,2,2,888,5,888,1,1,2,,,4,2,,1,5,2,1,5,,,,,,,,,,,," ",110101501,,
1,11,1,1,16,1,400.7663,"02",120,1,1,,,,,,,,1,1,1,1,1,0,2,4,2,2,2,2,2,1,0,,,,,,,,,,,,3,,,,,,,,,,,," ",110101601,,
1,11,1,1,17,1,400.7663,"01",60,1,1,,,,,,,,1,1,1,0,1,0,1,2,1,2,1,2,2,2,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110101701,,
1,11,1,1,19,1,400.7663,"02",180,1,1,5,5,5,5,5,5,5,1,0,1,1,0,,1,2,2,2,2,2,2,2,1,1,1,,2,,,,1,4,1,1,1,,,,,,,,,,,," ",110101901,,
1,11,1,1,20,1,400.7663,"01",60,1,2,,,,,,,,0,,1,2,0,,4,2,3,4,2,3,4,3,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110102001,,
1,11,2,2,1,1,221.941,"02",60,2,,,,,,,,,0,,0,,0,,2,1,2,4,2,2,4,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110200101,,
1,11,2,2,2,1,221.941,"02",120,1,,,,,,,,,0,,0,,0,,2,2,2,2,3,2,4,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110200201,,
1,11,2,2,3,1,105.421975,"02",240,2,,,,,,,,,1,0,1,2,0,,888,1,888,5,2,888,5,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110200301,,
1,11,2,2,4,1,105.421975,"01",120,2,,,,,,,,,0,,0,,0,,1,5,3,1,2,1,2,1,1,0,1,,2,,,,1,3,0,1,2,,,,,,,,,,,," ",110200401,,
1,11,2,2,5,1,105.421975,"03",90,2,,,,,,,,,0,,0,,0,,1,1,2,1,2,5,888,888,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110200501,,
1,11,2,2,6,1,105.421975,"02",150,1,,,,,,,,,0,,1,2,0,,1,1,1,4,2,2,5,888,1,1,1,,2,,,,1,3,1,0,2,,,,,,,,,,,," ",110200601,,
1,11,2,2,7,1,105.421975,"02",240,2,,,,,,,,,0,,1,1,0,,3,2,3,2,4,3,2,4,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110200701,,
1,11,2,2,8,1,221.941,"01",180,2,,,,,,,,,0,,0,,0,,2,2,2,2,4,3,4,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110200801,,
1,11,2,2,9,1,105.421975,"02",60,1,,,,,,,,,1,2,1,2,0,,4,3,3,3,3,3,5,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110200901,,
1,11,2,2,10,1,221.941,"02",120,2,,,,,,,,,0,,1,4,0,,4,2,3,3,2,888,4,3,0,,,,,,,,,,,,555,6,,,,,,,,,,," ",110201001,,
