"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","H01","H02","MARKET_PRICE","H03","H04","H05","H06","H07","H07_OTHER","hhid","camp","ref_weight"
1,11,1,1,1,1,400.7663,,,,,,,,,,110100101,,
1,11,1,1,3,1,400.7663,,,,,,,,,,110100301,,
1,11,1,1,4,1,400.7663,,,,,,,,,,110100401,,
1,11,1,1,7,1,400.7663,,,,,,,,,,110100701,,
1,11,1,1,8,1,400.7663,,,,,,,,,,110100801,,
1,11,1,1,9,1,400.7663,,,,,,,,,,110100901,,
1,11,1,1,10,1,400.7663,,,,,,,,,,110101001,,
1,11,1,1,11,1,400.7663,,,,,,,,,,110101101,,
1,11,1,1,13,1,50.5471009009009,,,,,,,,,,110101301,,
1,11,1,1,14,1,400.7663,,,,,,,,,,110101401,,
1,11,1,1,15,1,400.7663,,,,,,,,,,110101501,,
1,11,1,1,16,1,400.7663,,,,,,,,,,110101601,,
1,11,1,1,17,1,400.7663,,,,,,,,,,110101701,,
1,11,1,1,19,1,400.7663,,,,,,,,,,110101901,,
1,11,1,1,20,1,400.7663,,,,,,,,,,110102001,,
1,11,2,2,1,1,221.941,1,"01",7500,1,,,,,,110200101,,
1,11,2,2,2,1,221.941,1,"02",2500,1,,,,,,110200201,,
1,11,2,2,3,1,105.421975,1,"01",2500,1,,,,,,110200301,,
1,11,2,2,4,1,105.421975,1,"01",2500,0,0,0,0,1,,110200401,,
1,11,2,2,5,1,105.421975,1,"01",2500,0,1,,,,,110200501,,
1,11,2,2,6,1,105.421975,1,"01",7500,1,,,,,,110200601,,
1,11,2,2,7,1,105.421975,1,"01",2500,1,,,,,,110200701,,
1,11,2,2,8,1,221.941,1,"01",7500,1,,,,,,110200801,,
1,11,2,2,9,1,105.421975,1,"01",7500,0,0,1,,,,110200901,,
1,11,2,2,10,1,221.941,1,"02",7500,0,0,0,0,1,,110201001,,
1,11,2,2,11,1,221.941,1,"01",2500,0,0,1,,,,110201101,,
1,11,2,2,12,1,221.941,1,"01",2500,1,,,,,,110201201,,
1,11,2,2,13,1,221.941,1,"01",7500,0,0,0,0,2,,110201301,,
1,11,2,2,14,1,221.941,,,,,,,,,,110201401,,
1,11,2,2,15,1,221.941,1,"01",7500,0,0,1,,,,110201501,,
1,11,2,2,16,1,221.941,1,"01",7500,0,1,,,,,110201601,,
1,11,2,2,18,1,221.941,1,"01",2500,1,,,,,,110201801,,
1,11,2,2,22,1,221.941,1,"01",7500,1,,,,,,110202201,,
1,11,3,2,1,1,179.50659375,1,"01",2500,1,,,,,,110300101,,
1,11,3,2,2,1,179.50659375,1,"01",7500,0,0,1,,,,110300201,,
1,11,3,2,3,1,1566.603,1,"01",7500,0,0,0,0,1,,110300301,,
1,11,3,2,4,1,179.50659375,1,"01",2500,1,,,,,,110300401,,
1,11,3,2,5,1,1566.603,,,,,,,,,,110300501,,
1,11,3,2,6,1,179.50659375,1,"01",7500,0,0,0,0,1,,110300601,,
1,11,3,2,7,1,179.50659375,1,"01",2500,1,,,,,,110300701,,
1,11,3,2,8,1,179.50659375,,,,,,,,,,110300801,,
1,11,3,2,9,1,1566.603,1,"01",7500,0,0,0,0,1,,110300901,,
1,11,3,2,10,1,1566.603,1,"02",7500,1,,,,,,110301001,,
1,11,3,2,11,1,1566.603,,,,,,,,,,110301101,,
1,11,3,2,12,1,1566.603,1,"02",7500,1,,,,,,110301201,,
1,11,3,2,13,1,1566.603,,,,,,,,,,110301301,,
1,11,3,2,14,1,179.50659375,1,"01",7500,0,0,0,0,1,,110301401,,
1,11,3,2,15,1,179.50659375,1,"02",2500,1,,,,,,110301501,,
1,11,3,2,16,1,1566.603,1,"02",2500,1,,,,,,110301601,,
1,11,3,2,17,1,1566.603,1,"02",7500,1,,,,,,110301701,,
1,11,3,2,18,1,1566.603,1,"02",7500,1,,,,,,110301801,,
1,11,4,1,1,1,262.5804,,,,,,,,,,110400101,,
1,11,4,1,2,1,262.5804,,,,,,,,,,110400201,,
1,11,4,1,3,1,262.5804,,,,,,,,,,110400301,,
1,11,4,1,4,1,262.5804,,,,,,,,,,110400401,,
1,11,4,1,5,1,262.5804,,,,,,,,,,110400501,,
1,11,4,1,6,1,262.5804,,,,,,,,,,110400601,,
1,11,4,1,7,1,262.5804,,,,,,,,,,110400701,,
1,11,4,1,8,1,262.5804,,,,,,,,,,110400801,,
1,11,4,1,9,1,262.5804,,,,,,,,,,110400901,,
1,11,4,1,10,1,262.5804,,,,,,,,,,110401001,,
1,11,4,1,11,1,262.5804,,,,,,,,,,110401101,,
1,11,4,1,12,1,262.5804,,,,,,,,,,110401201,,
1,11,4,1,13,1,262.5804,,,,,,,,,,110401301,,
1,11,4,1,15,1,262.5804,,,,,,,,,,110401501,,
1,11,4,1,17,1,262.5804,,,,,,,,,,110401701,,
1,11,4,1,19,1,262.5804,,,,,,,,,,110401901,,
1,11,4,1,21,1,262.5804,,,,,,,,,,110402101,,
1,11,4,1,22,1,262.5804,,,,,,,,,,110402201,,
1,11,5,1,1,1,35.6145062761506,,,,,,,,,,110500101,,
1,11,5,1,2,1,35.6145062761506,,,,,,,,,,110500201,,
1,11,5,1,3,1,35.6145062761506,,,,,,,,,,110500301,,
1,11,5,1,4,1,35.6145062761506,,,,,,,,,,110500401,,
1,11,5,1,5,1,187.074,,,,,,,,,,110500501,,
1,11,5,1,6,1,187.074,,,,,,,,,,110500601,,
1,11,5,1,7,1,187.074,,,,,,,,,,110500701,,
1,11,5,1,8,1,187.074,,,,,,,,,,110500801,,
1,11,5,1,9,1,187.074,,,,,,,,,,110500901,,
1,11,5,1,10,1,187.074,,,,,,,,,,110501001,,
1,11,5,1,11,1,187.074,,,,,,,,,,110501101,,
1,11,5,1,12,1,187.074,,,,,,,,,,110501201,,
1,11,5,1,14,1,187.074,,,,,,,,,,110501401,,
1,11,5,1,16,1,187.074,,,,,,,,,,110501601,,
1,11,5,1,17,1,187.074,,,,,,,,,,110501701,,
1,11,5,1,18,1,187.074,,,,,,,,,,110501801,,
1,11,5,1,20,1,187.074,,,,,,,,,,110502001,,
1,11,6,1,1,1,504.2603,,,,,,,,,,110600101,,
1,11,6,1,2,1,504.2603,,,,,,,,,,110600201,,
1,11,6,1,3,1,504.2603,2,"02",24600,1,,,,,,110600301,,
1,11,6,1,4,1,504.2603,,,,,,,,,,110600401,,
1,11,6,1,5,1,504.2603,2,"02",21000,1,,,,,,110600501,,
1,11,6,1,6,1,504.2603,,,,,,,,,,110600601,,
1,11,6,1,7,1,504.2603,2,"02",8200,1,,,,,,110600701,,
1,11,6,1,8,1,504.2603,,,,,,,,,,110600801,,
1,11,6,1,9,1,504.2603,,,,,,,,,,110600901,,
1,11,6,1,10,1,504.2603,,,,,,,,,,110601001,,
1,11,6,1,11,1,504.2603,1,"02",2500,1,,,,,,110601101,,
1,11,6,1,12,1,504.2603,,,,,,,,,,110601201,,
1,11,6,1,13,1,504.2603,,,,,,,,,,110601301,,
1,11,6,1,14,1,504.2603,,,,,,,,,,110601401,,
1,11,6,1,15,1,504.2603,,,,,,,,,,110601501,,
1,11,6,1,16,1,504.2603,,,,,,,,,,110601601,,
1,11,6,1,17,1,504.2603,,,,,,,,,,110601701,,
1,11,6,1,18,1,504.2603,,,,,,,,,,110601801,,
1,11,7,1,1,1,191.7855,,,,,,,,,,110700101,,
1,11,7,1,2,1,191.7855,,,,,,,,,,110700201,,
1,11,7,1,3,1,191.7855,,,,,,,,,,110700301,,
1,11,7,1,4,1,191.7855,2,"02",21000,1,,,,,,110700401,,
1,11,7,1,5,1,191.7855,,,,,,,,,,110700501,,
1,11,7,1,6,1,191.7855,,,,,,,,,,110700601,,
1,11,7,1,7,1,191.7855,,,,,,,,,,110700701,,
1,11,7,1,8,1,191.7855,,,,,,,,,,110700801,,
1,11,7,1,9,1,191.7855,,,,,,,,,,110700901,,
1,11,7,1,10,1,191.7855,,,,,,,,,,110701001,,
1,11,7,1,11,1,191.7855,,,,,,,,,,110701101,,
1,11,7,1,12,1,191.7855,2,"02",16000,1,,,,,,110701201,,
1,11,7,1,13,1,191.7855,,,,,,,,,,110701301,,
1,11,7,1,14,1,191.7855,,,,,,,,,,110701401,,
1,11,7,1,15,1,191.7855,,,,,,,,,,110701501,,
1,11,7,1,16,1,191.7855,,,,,,,,,,110701601,,
1,11,7,1,17,1,191.7855,,,,,,,,,,110701701,,
1,11,7,1,18,1,191.7855,,,,,,,,,,110701801,,
1,11,8,1,1,1,709.7715,,,,,,,,,,110800101,,
1,11,8,1,2,1,709.7715,,,,,,,,,,110800201,,
1,11,8,1,3,1,709.7715,,,,,,,,,,110800301,,
1,11,8,1,4,1,709.7715,,,,,,,,,,110800401,,
1,11,8,1,5,1,709.7715,,,,,,,,,,110800501,,
