"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","M01_01","M01_02","M01_03","M01_04","M01_05","M01_06","M01_07","M01_08","M01_09","M01_10","M01_11","M01_12","M01_OTHER","M02_01","M02_02","M02_03","M02_04","M02_OTHER","M03","M04","M04_OTHER","N01","N02","N11_01","N11_02","N11_03","N11_04","N11_05","N11_06","N11_07","N11_08","N11_09","N11_10","N11_11","N11_13","N11_14","N11_15","N11_16","N11_17","N11_18","N11_20","N11_21","N11_22","N11_23","N11_24","N11_26","N11_27","N11_28","N11_29","N11_30","N11_31","N11_32","N11_33","N11_34","N11_35","N11_37","hhid","camp","ref_weight"
1,11,1,1,1,1,400.7663,1,,,1,,,,,,,,," ",1,,,,,2,2," ","02",4," "," ","01"," "," "," ","01","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01","0102"," "," ","01"," "," "," "," ",110100101,,
1,11,1,1,3,1,400.7663,1,,,1,,,,,,,,," ",1,,,,,2,2," ","02",1," "," ","0102"," ","01","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01","02"," "," ","01","01"," "," "," ",110100301,,
1,11,1,1,4,1,400.7663,,,1,,,,,,,,1,," ",,,,555,21,1,2," ","02",1," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110100401,,
1,11,1,1,7,1,400.7663,1,,,1,,1,,,,,,," ",1,,,,,1,2," ","02",1," "," ","0102"," ","01","01","0102"," "," "," "," ","01"," ","02"," "," "," "," "," "," "," "," "," "," ","0102"," "," "," ","01","0102"," "," "," ",110100701,,
1,11,1,1,8,1,400.7663,1,,1,1,,,,,,,1,," ",1,,,,,2,4," ","02",1," "," ","0102"," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," ","02"," "," "," "," "," "," "," ",110100801,,
1,11,1,1,9,1,400.7663,1,,1,1,,,,,,,1,," ",1,,,,,3,2," ","02",3," "," ","0102"," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110100901,,
1,11,1,1,10,1,400.7663,,1,,,,,,,,,,," ",,,,555,6,1,2," ","02",2," "," ","0102"," "," "," ","0102"," "," ","01"," ","01"," "," "," "," "," "," "," "," "," "," "," "," ","0102","0102"," ","01"," ","0102"," "," "," ",110101001,,
1,11,1,1,11,1,400.7663,,,,,,,1,,,,,," ",,,1,,,2,2," ","02",3," "," ","0102"," "," "," ","0102"," "," ","0102"," ","02"," ","02"," "," "," "," "," "," "," ","02","01","02","0102"," "," "," ","0102"," "," "," "," ",110101101,,
1,11,1,1,13,1,50.5471009009009,,1,1,,,,,,,,,," ",1,,,,,,2," ","01",2," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110101301,,
1,11,1,1,14,1,400.7663,1,,,1,,,,,,,,," ",1,,,,,2,2," ","01",1," "," ","01"," "," "," "," "," "," "," "," ","02"," "," "," "," "," "," "," "," "," "," ","02"," ","01","01"," ","01"," "," "," "," "," ",110101401,,
1,11,1,1,15,1,400.7663,1,,1,,,,,,,,1,," ",1,,,,,3,2," ","01",2," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110101501,,
1,11,1,1,16,1,400.7663,1,,,1,,,,,,,,," ",1,,,,,1,2," ","02",2," "," ","0102"," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," ","0102","0102"," "," ","01"," "," "," "," ",110101601,,
1,11,1,1,17,1,400.7663,1,,,1,,1,,,,,,," ",1,,,,,1,2," ","01",2," "," ","01"," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01","01","01"," ","01"," "," "," "," "," ",110101701,,
1,11,1,1,19,1,400.7663,1,,,1,,,,,,,,," ",1,,,,,1,4," ","02",3," "," ","0102"," "," ","01"," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," ","02","0102"," "," ","01"," "," "," "," ",110101901,,
1,11,1,1,20,1,400.7663,1,,1,,,,,,,,,," ",1,,,,,2,2," ","01",4," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","03","01"," "," "," "," "," "," "," ",110102001,,
1,11,2,2,1,1,221.941,1,,1,,,,1,,,1,,," ",1,,,,,1,2," ","01",1,"0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110200101,,
1,11,2,2,2,1,221.941,1,,,1,,,1,,,,,," ",1,,,,,2,2," ","02",3,"0102"," "," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," ","0102"," "," "," "," "," ",110200201,,
