hhid,Cluster,PROVINCE,HH_WT,Conn_Grid,m_R,Tier,Is_Urban,Accept_Cash
110100101,1,1,400.7663,1,1.0,2,1,0
110100301,1,1,400.7663,1,0.8849912256345183,2,1,0
110100401,1,1,400.7663,1,1.0,1,1,0
110100701,1,1,400.7663,1,0.9800826180324713,4,1,0
110100801,1,1,400.7663,1,0.8849912256345183,4,1,0
110100901,1,1,400.7663,1,0.9800826180324713,2,1,0
110101001,1,1,400.7663,1,1.0,4,1,0
110101101,1,1,400.7663,1,0.9050826180324714,5,1,0
110101301,1,1,50.5471009009009,0,0.0,0,1,0
110101401,1,1,400.7663,1,1.0,4,1,0
110101501,1,1,400.7663,1,0.9050826180324714,1,1,0
110101601,1,1,400.7663,1,1.0,4,1,0
110101701,1,1,400.7663,1,0.9249999999999999,2,1,0
110101901,1,1,400.7663,1,0.9050826180324714,4,1,0
110102001,1,1,400.7663,1,1.0,1,1,0
110200101,2,1,221.941,1,1.0,1,0,1
110200201,2,1,221.941,1,1.0,2,0,1
110200301,2,1,105.421975,0,0.0,0,0,1
110200401,2,1,105.421975,0,0.0,2,0,0
110200501,2,1,105.421975,0,0.0,0,0,0
110200601,2,1,105.421975,0,0.0,0,0,1
110200701,2,1,105.421975,0,0.0,0,0,1
110200801,2,1,221.941,1,1.0,1,0,1
110200901,2,1,105.421975,0,0.0,0,0,0
110201001,2,1,221.941,1,1.0,1,0,0
110201101,2,1,221.941,1,1.0,2,0,0
110201201,2,1,221.941,1,0.7467377606116178,1,0,1
110201301,2,1,221.941,1,0.7467377606116178,1,0,0
110201401,2,1,221.941,1,1.0,3,0,0
110201501,2,1,221.941,1,1.0,1,0,0
110201601,2,1,221.941,1,1.0,2,0,0
110201801,2,1,221.941,1,1.0,2,0,1
110202201,2,1,221.941,1,0.9249999999999999,2,0,1
110300101,3,1,179.50659375,0,0.0,0,0,1
110300201,3,1,179.50659375,0,0.0,0,0,0
110300301,3,1,1566.603,1,1.0,1,0,0
110300401,3,1,179.50659375,0,0.0,0,0,1
110300501,3,1,1566.603,1,1.0,2,0,0
110300601,3,1,179.50659375,0,0.0,2,0,0
110300701,3,1,179.50659375,0,0.0,0,0,1
110300801,3,1,179.50659375,0,0.0,0,0,0
110300901,3,1,1566.603,1,1.0,1,0,0
110301001,3,1,1566.603,1,1.0,1,0,1
110301101,3,1,1566.603,1,1.0,4,0,0
110301201,3,1,1566.603,1,1.0,4,0,1
110301301,3,1,1566.603,1,1.0,2,0,0
110301401,3,1,179.50659375,0,0.0,0,0,0
110301501,3,1,179.50659375,0,0.0,0,0,1
110301601,3,1,1566.603,1,1.0,2,0,1
110301701,3,1,1566.603,1,1.0,1,0,1
110301801,3,1,1566.603,1,0.9599912256345182,1,0,1
110400101,4,1,262.5804,1,0.9735053408239914,1,1,0
110400201,4,1,262.5804,1,0.9249999999999999,3,1,0
110400301,4,1,262.5804,1,0.9800826180324713,2,1,0
110400401,4,1,262.5804,1,1.0,4,1,0
110400501,4,1,262.5804,1,0.9599912256345182,4,1,0
110400601,4,1,262.5804,1,1.0,4,1,0
110400701,4,1,262.5804,1,1.0,2,1,0
110400801,4,1,262.5804,1,0.9867406349416386,1,1,0
110400901,4,1,262.5804,1,0.9800826180324713,4,1,0
110401001,4,1,262.5804,1,0.9867406349416386,4,1,0
110401101,4,1,262.5804,1,0.9050826180324714,4,1,0
110401201,4,1,262.5804,1,0.8849912256345183,4,1,0
110401301,4,1,262.5804,1,0.9800826180324713,4,1,0
110401501,4,1,262.5804,1,1.0,2,1,0
110401701,4,1,262.5804,1,1.0,4,1,0
110401901,4,1,262.5804,1,1.0,4,1,0
110402101,4,1,262.5804,1,1.0,4,1,0
110402201,4,1,262.5804,1,0.9599912256345182,4,1,0
110500101,5,1,35.6145062761506,0,0.0,0,1,0
110500201,5,1,35.6145062761506,0,0.0,0,1,0
110500301,5,1,35.6145062761506,0,0.0,2,1,0
110500401,5,1,35.6145062761506,0,0.0,2,1,0
110500501,5,1,187.074,1,0.9425826180324713,1,1,0
110500601,5,1,187.074,1,0.9425826180324713,1,1,0
110500701,5,1,187.074,1,0.9800826180324713,2,1,0
110500801,5,1,187.074,1,0.9800826180324713,2,1,0
110500901,5,1,187.074,1,0.9050826180324714,2,1,0
110501001,5,1,187.074,1,0.9425826180324713,1,1,0
110501101,5,1,187.074,1,0.9800826180324713,2,1,0
110501201,5,1,187.074,1,0.9800826180324713,2,1,0
110501401,5,1,187.074,1,0.9050826180324714,4,1,0
110501601,5,1,187.074,1,1.0,4,1,0
110501701,5,1,187.074,1,0.8849912256345183,1,1,0
110501801,5,1,187.074,1,0.9050826180324714,2,1,0
110502001,5,1,187.074,1,0.9050826180324714,1,1,0
110600101,6,1,504.2603,1,1.0,1,1,0
110600201,6,1,504.2603,1,1.0,2,1,0
110600301,6,1,504.2603,1,1.0,2,1,1
110600401,6,1,504.2603,1,1.0,1,1,0
110600501,6,1,504.2603,1,1.0,4,1,1
110600601,6,1,504.2603,1,1.0,4,1,0
110600701,6,1,504.2603,1,1.0,1,1,1
110600801,6,1,504.2603,1,1.0,1,1,0
110600901,6,1,504.2603,1,1.0,4,1,0
110601001,6,1,504.2603,1,1.0,4,1,0
110601101,6,1,504.2603,1,0.9050826180324714,4,1,1
110601201,6,1,504.2603,1,1.0,4,1,0
110601301,6,1,504.2603,1,1.0,4,1,0
110601401,6,1,504.2603,1,1.0,2,1,0
110601501,6,1,504.2603,1,1.0,1,1,0
110601601,6,1,504.2603,1,1.0,4,1,0
110601701,6,1,504.2603,1,1.0,2,1,0
110601801,6,1,504.2603,1,1.0,4,1,0
110700101,7,1,191.7855,1,1.0,5,1,0
110700201,7,1,191.7855,1,1.0,4,1,0
110700301,7,1,191.7855,1,1.0,2,1,0
110700401,7,1,191.7855,1,1.0,4,1,1
110700501,7,1,191.7855,1,1.0,4,1,0
110700601,7,1,191.7855,1,1.0,4,1,0
110700701,7,1,191.7855,1,1.0,4,1,0
110700801,7,1,191.7855,1,1.0,4,1,0
110700901,7,1,191.7855,1,1.0,3,1,0
110701001,7,1,191.7855,1,1.0,4,1,0
110701101,7,1,191.7855,1,1.0,2,1,0
110701201,7,1,191.7855,1,1.0,4,1,1
110701301,7,1,191.7855,1,1.0,4,1,0
110701401,7,1,191.7855,1,1.0,1,1,0
110701501,7,1,191.7855,1,1.0,4,1,0
110701601,7,1,191.7855,1,0.919247239296088,1,1,0
110701701,7,1,191.7855,1,1.0,4,1,0
110701801,7,1,191.7855,1,0.9800826180324713,4,1,0
110800101,8,1,709.7715,1,1.0,2,1,0
110800201,8,1,709.7715,1,1.0,4,1,0
110800301,8,1,709.7715,1,1.0,2,1,0
110800401,8,1,709.7715,1,0.9800826180324713,4,1,0
110800501,8,1,709.7715,1,1.0,4,1,0
110800601,8,1,709.7715,1,1.0,3,1,0
110800701,8,1,709.7715,1,1.0,4,1,0
110800801,8,1,709.7715,1,1.0,4,1,0
110800901,8,1,709.7715,1,1.0,4,1,0
110801001,8,1,709.7715,1,1.0,2,1,0
110801101,8,1,709.7715,1,1.0,4,1,0
110801201,8,1,709.7715,1,1.0,2,1,1
110801301,8,1,709.7715,1,1.0,5,1,0
110801401,8,1,709.7715,1,1.0,2,1,1
110801501,8,1,709.7715,1,0.9249999999999999,2,1,0
110801601,8,1,709.7715,1,1.0,2,1,0
110801701,8,1,709.7715,1,1.0,4,1,0
110801801,8,1,57.7326100478469,0,0.0,2,1,0
110900201,9,1,450.0009,1,0.9800826180324713,4,1,1
110900401,9,1,450.0009,1,1.0,1,1,0
110900501,9,1,450.0009,1,1.0,1,1,0
110900601,9,1,450.0009,1,1.0,4,1,1
110900701,9,1,450.0009,1,1.0,1,1,0
110900801,9,1,450.0009,1,1.0,2,1,0
110900901,9,1,450.0009,1,1.0,1,1,0
110901001,9,1,450.0009,1,0.919247239296088,2,1,1
110901101,9,1,450.0009,1,0.8026786390680324,2,1,0
110901201,9,1,450.0009,1,0.9249999999999999,1,1,0
110901301,9,1,450.0009,1,0.9050826180324714,2,1,0
110901401,9,1,450.0009,1,0.9050826180324714,2,1,0
110901501,9,1,450.0009,1,0.9050826180324714,1,1,0
110901601,9,1,450.0009,1,1.0,4,1,1
110901701,9,1,450.0009,1,1.0,2,1,0
110901801,9,1,450.0009,1,1.0,1,1,0
110901901,9,1,29.1105703504043,0,0.0,0,1,0
110902001,9,1,29.1105703504043,0,0.0,0,1,1
111000201,10,1,581.4858,1,1.0,1,1,0
111000301,10,1,581.4858,1,1.0,2,1,0
111000401,10,1,581.4858,1,1.0,4,1,0
111000501,10,1,45.3452229357798,0,0.0,0,1,1
111000601,10,1,581.4858,1,1.0,4,1,0
111000701,10,1,581.4858,1,1.0,2,1,0
111000801,10,1,581.4858,1,1.0,4,1,0
111000901,10,1,581.4858,1,1.0,4,1,0
111001001,10,1,581.4858,1,1.0,1,1,0
111001101,10,1,581.4858,1,1.0,4,1,0
111001201,10,1,581.4858,1,1.0,4,1,0
111001301,10,1,581.4858,1,1.0,4,1,0
111001401,10,1,581.4858,1,0.8099912256345183,4,1,0
111001501,10,1,581.4858,1,1.0,2,1,0
111001601,10,1,581.4858,1,1.0,4,1,0
111001701,10,1,581.4858,1,1.0,4,1,0
111001801,10,1,581.4858,1,1.0,4,1,0
111001901,10,1,581.4858,1,1.0,4,1,0
111100101,11,1,486.8112,1,1.0,4,1,0
111100201,11,1,486.8112,1,0.9800826180324713,4,1,0
111100301,11,1,486.8112,1,1.0,4,1,0
111100401,11,1,486.8112,1,1.0,4,1,0
111100501,11,1,486.8112,1,1.0,4,1,0
111100601,11,1,486.8112,1,1.0,4,1,0
111100701,11,1,486.8112,1,1.0,4,1,0
111100801,11,1,486.8112,1,1.0,2,1,0
111100901,11,1,486.8112,1,1.0,4,1,0
111101001,11,1,486.8112,1,1.0,4,1,0
111101101,11,1,486.8112,1,1.0,4,1,0
111101201,11,1,486.8112,1,1.0,1,1,0
111101301,11,1,486.8112,1,1.0,4,1,0
111101401,11,1,486.8112,1,1.0,2,1,0
111101501,11,1,486.8112,1,1.0,1,1,0
111101601,11,1,486.8112,1,1.0,5,1,0
111101701,11,1,486.8112,1,1.0,1,1,0
111101801,11,1,486.8112,1,1.0,1,1,0
121200101,12,1,699.2959,1,1.0,1,0,0
121200201,12,1,73.1642186123348,0,0.0,0,0,0
121200301,12,1,699.2959,1,1.0,1,0,0
121200401,12,1,73.1642186123348,0,0.0,0,0,1
121200501,12,1,73.1642186123348,0,0.0,0,0,0
121200601,12,1,73.1642186123348,0,0.0,0,0,0
121200701,12,1,73.1642186123348,0,0.0,0,0,0
121200801,12,1,73.1642186123348,0,0.0,0,0,0
121200901,12,1,73.1642186123348,0,0.0,0,0,0
121201001,12,1,699.2959,1,1.0,2,0,0
121201101,12,1,699.2959,1,0.844247239296088,2,0,0
121201201,12,1,699.2959,1,1.0,4,0,0
121201301,12,1,699.2959,1,0.8849912256345183,2,0,0
121201401,12,1,73.1642186123348,0,0.0,0,0,0
121201501,12,1,699.2959,1,1.0,2,0,0
121201601,12,1,699.2959,1,1.0,2,0,0
121201701,12,1,699.2959,1,0.9700739682749716,1,0,0
121201801,12,1,699.2959,1,1.0,4,0,0
121300101,13,1,736.1804,1,0.7467377606116178,1,0,0
121300201,13,1,736.1804,1,1.0,4,0,0
121300301,13,1,736.1804,1,1.0,2,0,0
121300401,13,1,736.1804,1,1.0,2,0,0
121300501,13,1,736.1804,1,1.0,4,0,0
121300601,13,1,13.4902167539267,0,0.0,0,0,0
121300701,13,1,13.4902167539267,0,0.0,0,0,0
121300801,13,1,736.1804,1,1.0,4,0,0
121300901,13,1,13.4902167539267,0,0.0,0,0,1
121301001,13,1,736.1804,1,0.9800826180324713,4,0,0
121301101,13,1,736.1804,1,0.9800826180324713,1,0,0
121301201,13,1,736.1804,1,1.0,4,0,0
121301301,13,1,13.4902167539267,0,0.0,2,0,0
121301401,13,1,736.1804,1,1.0,4,0,0
121301501,13,1,736.1804,1,0.976746382917649,2,0,0
121301601,13,1,736.1804,1,1.0,4,0,0
121301701,13,1,736.1804,1,1.0,1,0,0
121301801,13,1,736.1804,1,0.976746382917649,1,0,0
121400101,14,1,219.6804,1,1.0,4,1,0
121400201,14,1,219.6804,1,1.0,4,1,0
121400301,14,1,219.6804,1,1.0,4,1,0
121400401,14,1,219.6804,1,1.0,4,1,0
121400501,14,1,219.6804,1,1.0,4,1,0
121400601,14,1,219.6804,1,1.0,4,1,0
121400701,14,1,219.6804,1,1.0,4,1,0
121400801,14,1,219.6804,1,1.0,4,1,0
121400901,14,1,219.6804,1,1.0,2,1,0
121401001,14,1,219.6804,1,1.0,4,1,0
121401101,14,1,219.6804,1,1.0,4,1,0
121401201,14,1,219.6804,1,0.9050826180324714,2,1,0
121401301,14,1,221.307662222222,0,0.0,0,1,0
121401401,14,1,219.6804,1,1.0,4,1,0
121401501,14,1,219.6804,1,1.0,4,1,0
121401601,14,1,219.6804,1,1.0,2,1,0
121401701,14,1,219.6804,1,1.0,2,1,0
121401801,14,1,219.6804,1,1.0,1,1,0
121500101,15,1,20.4148122137405,0,0.0,0,1,0
121500201,15,1,20.4148122137405,0,0.0,0,1,0
121500301,15,1,668.5851,1,1.0,2,1,0
121500401,15,1,668.5851,1,1.0,4,1,0
121500501,15,1,668.5851,1,1.0,1,1,0
121500601,15,1,668.5851,1,1.0,4,1,0
121500801,15,1,668.5851,1,0.8647162815908936,4,1,0
121500901,15,1,668.5851,1,1.0,2,1,0
121501001,15,1,668.5851,1,1.0,2,1,0
121501101,15,1,668.5851,1,1.0,2,1,0
121501201,15,1,668.5851,1,1.0,4,1,0
121501301,15,1,668.5851,1,0.9800826180324713,4,1,0
121501401,15,1,668.5851,1,1.0,2,1,0
121501501,15,1,668.5851,1,1.0,2,1,0
121501601,15,1,668.5851,1,0.8647162815908936,4,1,0
121501701,15,1,668.5851,1,0.9297162815908937,4,1,0
121501801,15,1,668.5851,1,1.0,4,1,0
121501901,15,1,668.5851,1,1.0,4,1,0
121600101,16,1,22.51949375,0,0.0,0,1,0
121600201,16,1,22.51949375,0,0.0,0,1,0
121600301,16,1,22.51949375,0,0.0,0,1,0
121600401,16,1,22.51949375,0,0.0,0,1,0
121600501,16,1,443.4608,1,0.9050826180324714,1,1,0
121600601,16,1,443.4608,1,1.0,2,1,0
121600701,16,1,443.4608,1,1.0,2,1,0
121600801,16,1,443.4608,1,0.9966921425188322,2,1,0
121600901,16,1,443.4608,1,1.0,2,1,0
121601001,16,1,443.4608,1,0.9050826180324714,4,1,0
121601101,16,1,443.4608,1,1.0,4,1,0
121601201,16,1,22.51949375,0,0.0,0,1,0
121601301,16,1,443.4608,1,1.0,4,1,0
121601401,16,1,443.4608,1,1.0,1,1,0
121601501,16,1,443.4608,1,1.0,4,1,0
121601601,16,1,443.4608,1,1.0,1,1,0
121601701,16,1,443.4608,1,1.0,2,1,1
121601801,16,1,443.4608,1,1.0,4,1,0
121700101,17,1,7.15809113268609,0,0.0,0,1,1
121700201,17,1,85.07116,1,0.9599912256345182,2,1,1
121700301,17,1,7.15809113268609,0,0.0,0,1,0
121700401,17,1,7.15809113268609,0,0.0,0,1,1
121700501,17,1,7.15809113268609,0,0.0,2,1,1
121700601,17,1,85.07116,1,1.0,2,1,0
121700701,17,1,85.07116,1,1.0,1,1,0
121700801,17,1,85.07116,1,1.0,1,1,0
121700901,17,1,85.07116,1,1.0,4,1,0
121701001,17,1,7.15809113268609,0,0.0,0,1,1
121701101,17,1,85.07116,1,1.0,4,1,0
121701201,17,1,85.07116,1,1.0,1,1,0
121701301,17,1,85.07116,1,1.0,2,1,0
121701401,17,1,85.07116,1,1.0,1,1,0
121701501,17,1,85.07116,1,0.85,1,1,0
121701601,17,1,85.07116,1,1.0,1,1,0
121701701,17,1,85.07116,1,1.0,1,1,0
121701801,17,1,85.07116,1,1.0,1,1,0
121800101,18,1,947.7518,1,0.9469514402761416,1,0,0
121800201,18,1,947.7518,1,1.0,2,0,1
