"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_E01","CO_E02","CO_E03","CO_E04","CO_E05","CO_E06","CO_E07","Basicweight"
2,1,1,1,2,1,1,9,"Ibitaro",0,15,,,,33.29115
2,1,1,1,2,1,1,15,"Ibiro by!iposita",0,15,,,,33.29115
2,1,1,1,2,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",0,10,,,,33.29115
2,1,1,1,2,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,99,,,,33.29115
2,1,1,1,2,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,1,,,,33.29115
2,1,1,1,2,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",1,,2015,1,1,33.29115
2,1,1,1,2,1,1,13,"Ibigo by!imari iciriritse",1,,2009,1,1,33.29115
2,1,1,1,2,1,1,11,"Amakusanyirizo y!amata",0,10,,,,33.29115
2,1,1,1,2,1,1,1,"Ibigo by!amashuri y!incuke",0,1,,,,33.29115
2,1,1,1,2,1,1,16,"Aho abantu babonera Internet",0,1,,,,33.29115
2,1,1,1,2,1,1,8,"Poste de sante cg Farumasi",0,2,,,,33.29115
2,1,1,1,2,1,1,14,"Poste ya polisi",0,10,,,,33.29115
2,1,1,1,2,1,1,3,"Ibigo by!amashuri yisumbuye",0,1,,,,33.29115
2,1,1,1,2,1,1,12,"Amashami ya Banki",0,10,,,,33.29115
2,1,1,1,2,1,1,2,"Ibigo by!amashuri yibanza",0,1,,,,33.29115
2,1,1,1,2,1,1,20,"Aho basharija/bakora telefoni",0,10,,,,33.29115
2,1,1,1,2,1,1,22,"Kiliziya/Umusigiti/Urusengero",2,,1960,1,1,33.29115
2,1,1,1,2,1,1,5,"Aho bategera Bus",0,1,,,,33.29115
2,1,1,1,2,1,1,6,"Amavuriro y!igenga",0,1,,,,33.29115
2,1,1,1,2,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,11,,,,33.29115
2,1,1,1,2,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,1,,,,33.29115
2,1,1,1,2,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,10,,,,33.29115
2,1,1,1,2,1,1,10,"Amasoko",0,10,,,,33.29115
3,2,1,1,2,1,1,8,"Poste de sante cg Farumasi",0,0,,,,65.275125
3,2,1,1,2,1,1,16,"Aho abantu babonera Internet",0,2,,,,65.275125
3,2,1,1,2,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,0,,,,65.275125
3,2,1,1,2,1,1,1,"Ibigo by!amashuri y!incuke",1,,2018,1,1,65.275125
3,2,1,1,2,1,1,2,"Ibigo by!amashuri yibanza",1,,2018,1,1,65.275125
3,2,1,1,2,1,1,22,"Kiliziya/Umusigiti/Urusengero",1,,1990,1,1,65.275125
3,2,1,1,2,1,1,6,"Amavuriro y!igenga",0,7,,,,65.275125
3,2,1,1,2,1,1,15,"Ibiro by!iposita",0,9,,,,65.275125
3,2,1,1,2,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,9,,,,65.275125
3,2,1,1,2,1,1,13,"Ibigo by!imari iciriritse",0,6,,,,65.275125
3,2,1,1,2,1,1,10,"Amasoko",0,9,,,,65.275125
3,2,1,1,2,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,1,,,,65.275125
