"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","F11","F12","F13","F14","F15","F16","hhid","camp","ref_weight"
1,11,1,1,1,1,400.7663,5,0,,,,,110100101,,
1,11,1,1,3,1,400.7663,1,0,,,,,110100301,,
1,11,1,1,4,1,400.7663,6,0,,,,,110100401,,
1,11,1,1,7,1,400.7663,6,0,,,,,110100701,,
1,11,1,1,8,1,400.7663,3,0,,,,,110100801,,
1,11,1,1,9,1,400.7663,5,0,,,,,110100901,,
1,11,1,1,10,1,400.7663,7,0,,,,,110101001,,
1,11,1,1,11,1,400.7663,3,0,,,,,110101101,,
1,11,1,1,13,1,50.5471009009009,4,0,,,,,110101301,,
1,11,1,1,14,1,400.7663,6,0,,,,,110101401,,
1,11,1,1,15,1,400.7663,5,0,,,,,110101501,,
1,11,1,1,16,1,400.7663,7,0,,,,,110101601,,
1,11,1,1,17,1,400.7663,6,0,,,,,110101701,,
1,11,1,1,19,1,400.7663,3,0,,,,,110101901,,
1,11,1,1,20,1,400.7663,6,0,,,,,110102001,,
1,11,2,2,1,1,221.941,6,0,,,,,110200101,,
1,11,2,2,2,1,221.941,3,0,,,,,110200201,,
1,11,2,2,3,1,105.421975,6,0,,,,,110200301,,
1,11,2,2,4,1,105.421975,1,1,6,7,600,,110200401,,
1,11,2,2,5,1,105.421975,6,0,,,,,110200501,,
1,11,2,2,6,1,105.421975,7,0,,,,,110200601,,
1,11,2,2,7,1,105.421975,4,0,,,,,110200701,,
1,11,2,2,8,1,221.941,4,0,,,,,110200801,,
1,11,2,2,9,1,105.421975,5,0,,,,,110200901,,
1,11,2,2,10,1,221.941,6,0,,,,,110201001,,
1,11,2,2,11,1,221.941,6,0,,,,,110201101,,
1,11,2,2,12,1,221.941,5,0,,,,,110201201,,
1,11,2,2,13,1,221.941,3,0,,,,,110201301,,
1,11,2,2,14,1,221.941,2,0,,,,,110201401,,
1,11,2,2,15,1,221.941,7,0,,,,,110201501,,
1,11,2,2,16,1,221.941,3,0,,,,,110201601,,
1,11,2,2,18,1,221.941,4,0,,,,,110201801,,
1,11,2,2,22,1,221.941,2,0,,,,,110202201,,
1,11,3,2,1,1,179.50659375,1,0,,,,,110300101,,
1,11,3,2,2,1,179.50659375,6,0,,,,,110300201,,
1,11,3,2,3,1,1566.603,6,0,,,,,110300301,,
1,11,3,2,4,1,179.50659375,1,0,,,,,110300401,,
1,11,3,2,5,1,1566.603,4,0,,,,,110300501,,
1,11,3,2,6,1,179.50659375,7,0,,,,,110300601,,
1,11,3,2,7,1,179.50659375,3,0,,,,,110300701,,
1,11,3,2,8,1,179.50659375,4,0,,,,,110300801,,
1,11,3,2,9,1,1566.603,2,0,,,,,110300901,,
1,11,3,2,10,1,1566.603,2,0,,,,,110301001,,
1,11,3,2,11,1,1566.603,4,0,,,,,110301101,,
1,11,3,2,12,1,1566.603,3,0,,,,,110301201,,
1,11,3,2,13,1,1566.603,6,0,,,,,110301301,,
1,11,3,2,14,1,179.50659375,4,0,,,,,110301401,,
1,11,3,2,15,1,179.50659375,6,0,,,,,110301501,,
1,11,3,2,16,1,1566.603,5,0,,,,,110301601,,
1,11,3,2,17,1,1566.603,6,0,,,,,110301701,,
1,11,3,2,18,1,1566.603,1,0,,,,,110301801,,
1,11,4,1,1,1,262.5804,4,0,,,,,110400101,,
1,11,4,1,2,1,262.5804,7,0,,,,,110400201,,
1,11,4,1,3,1,262.5804,6,0,,,,,110400301,,
1,11,4,1,4,1,262.5804,5,0,,,,,110400401,,
1,11,4,1,5,1,262.5804,7,0,,,,,110400501,,
1,11,4,1,6,1,262.5804,2,0,,,,,110400601,,
1,11,4,1,7,1,262.5804,6,0,,,,,110400701,,
1,11,4,1,8,1,262.5804,2,0,,,,,110400801,,
1,11,4,1,9,1,262.5804,5,0,,,,,110400901,,
1,11,4,1,10,1,262.5804,2,0,,,,,110401001,,
1,11,4,1,11,1,262.5804,6,0,,,,,110401101,,
1,11,4,1,12,1,262.5804,1,0,,,,,110401201,,
1,11,4,1,13,1,262.5804,6,0,,,,,110401301,,
1,11,4,1,15,1,262.5804,4,0,,,,,110401501,,
1,11,4,1,17,1,262.5804,4,0,,,,,110401701,,
1,11,4,1,19,1,262.5804,5,0,,,,,110401901,,
1,11,4,1,21,1,262.5804,1,0,,,,,110402101,,
1,11,4,1,22,1,262.5804,7,0,,,,,110402201,,
1,11,5,1,1,1,35.6145062761506,1,0,,,,,110500101,,
1,11,5,1,2,1,35.6145062761506,5,0,,,,,110500201,,
1,11,5,1,3,1,35.6145062761506,7,0,,,,,110500301,,
1,11,5,1,4,1,35.6145062761506,7,0,,,,,110500401,,
1,11,5,1,5,1,187.074,4,0,,,,,110500501,,
1,11,5,1,6,1,187.074,5,0,,,,,110500601,,
1,11,5,1,7,1,187.074,5,0,,,,,110500701,,
1,11,5,1,8,1,187.074,7,0,,,,,110500801,,
1,11,5,1,9,1,187.074,6,0,,,,,110500901,,
1,11,5,1,10,1,187.074,6,0,,,,,110501001,,
1,11,5,1,11,1,187.074,5,0,,,,,110501101,,
