"Cluster","ED_ID","CI01","CI02","CI06","CI07","CI08","QE_C06A","QE_C06B","QE_C07","QE_C08","QE_C09","QE_C09A","Basicweight"
2,1,1,1,2,2,1,1,2,2022,350000,1,1,33.29115
4,3,1,1,1,2,9,1,2,2021,350000,5,1,32.3729260273973
5,4,1,1,1,2,1,1,2,2021,888,3,1,10.1755732217573
7,5,1,1,1,2,3,1,2,2014,300000,4,1,22.7114407894737
9,7,1,1,1,2,1,1,1,2022,0,4,1,19.4070469002695
11,9,1,1,1,2,1,1,1,2015,0,3,1,24.2731346260388
12,10,1,2,2,2,1,1,1,2020,0,1,1,30.805986784141
13,11,1,2,2,2,1,1,2,2022,888,5,1,13.4902167539267
14,12,1,2,1,2,1,1,2,2010,350000,5,1,27.6634577777778
17,15,1,2,1,2,1,1,2,2017,250000,3,1,3.57904556634304
18,16,1,2,2,2,1,1,2,2021,300000,2,1,41.0282164502164
19,17,1,2,1,2,1,1,2,2011,250000,2,1,19.94468875
20,18,1,2,2,2,1,1,2,2022,0,2,1,39.7495568493151
22,20,1,2,1,2,1,1,1,2018,0,1,1,9.87333272727273
23,21,1,2,1,2,1,1,1,2020,0,2,1,15.03859
24,22,1,2,1,2,1,1,2,2008,300000,7,1,21.1205211428571
25,23,1,2,1,2,1,1,1,2021,0,2,1,16.7416508571429
26,24,1,2,1,2,1,1,1,2021,0,2,1,15.1199458740018
27,25,1,2,1,2,1,1,2,2008,300000,7,1,4.12082943262411
28,26,1,2,1,2,3,1,1,2016,0,4,1,11.2538897515528
29,27,1,2,1,2,1,1,2,2021,350000,2,1,65.775825
30,28,1,2,2,2,1,1,2,2021,0,3,1,27.3053669724771
32,30,1,2,1,2,1,1,1,2016,0,3,1,4.23082260869565
33,31,1,2,1,2,1,1,2,2021,350000,3,1,21.1555548
34,32,1,2,2,2,1,1,1,2021,0,2,1,48.7433
35,33,1,3,1,2,1,1,2,2016,250000,1,1,39.1813092105263
36,34,1,3,2,2,1,1,1,2019,0,4,1,33.7477419354839
38,36,1,3,1,2,1,1,2,2022,0,2,1,12.3686712765957
40,38,1,3,1,2,1,1,1,2021,0,1,1,46.9627568421053
41,39,1,3,1,2,1,1,1,2020,0,6,1,43.053996
42,40,1,3,1,2,1,1,2,2013,300000,3,1,23.9960368421053
45,42,1,3,1,2,1,1,2,2020,888,2,1,17.1043262068966
46,43,1,3,2,2,3,1,1,2022,0,2,1,34.238744813278
48,45,1,3,1,2,1,1,2,2005,250000,4,1,24.1846151162791
50,47,2,1,1,2,1,1,2,2021,300000,2,1,20.2034487562189
51,48,2,1,1,2,1,1,2,1995,0,4,1,8.52196355140187
52,49,2,1,2,2,1,1,2,2022,0,2,1,90.9873333333333
53,50,2,1,2,2,1,1,2,2017,0,4,1,152.80155
54,51,2,1,2,2,1,1,2,2021,888,1,1,45.2318409090909
55,52,2,1,2,2,1,1,2,2022,0,2,1,207.560347826087
68,53,2,2,2,2,10,1,2,2020,300000,1,1,138.488
71,54,2,2,2,2,10,1,1,2022,0,1,1,111.031052054795
79,55,2,3,1,2,1,1,2,2021,250000,2,1,13.34441
80,56,2,3,2,2,1,1,2,2003,150000,4,1,104.835668449198
81,57,2,3,2,2,2,1,2,2014,0,4,1,112.872822222222
82,58,2,3,2,2,2,1,2,2022,0,2,1,198.80024
84,59,2,4,2,2,1,1,2,2021,300000,2,1,72.2506289308176
86,60,2,4,1,2,1,1,2,2006,300000,3,1,18.0087829787234
86,61,2,4,1,2,2,1,2,2010,0,2,1,18.0087829787234
87,62,2,4,2,2,1,1,2,2021,200000,2,1,102.260069686411
88,63,2,4,1,2,1,1,2,2021,200000,6,1,12.1381444776119
89,64,2,4,1,2,1,1,2,2021,200000,2,1,15.4509974137931
90,65,2,5,2,2,1,1,2,2021,200000,2,1,124.678725925926
91,66,2,5,2,2,1,1,2,2021,250000,2,1,5.83359555555556
91,66,2,5,2,2,1,2,1,2021,0,2,0,5.83359555555556
99,67,2,5,2,2,1,1,2,2020,0,1,1,134.667481889764
100,68,2,5,2,2,1,1,1,2014,0,1,1,179.081928947368
114,69,2,6,2,2,1,1,2,2021,250000,2,1,109.48854
115,70,2,6,1,2,1,1,1,2021,0,2,1,6.9631550877193
116,71,2,6,2,2,2,1,2,2021,0,2,1,138.22532038835
117,72,2,6,2,2,1,1,2,2021,0,2,1,121.078246153846
118,73,2,6,2,2,1,1,2,2022,180000,3,1,164.318615384615
119,74,2,6,1,2,2,1,2,2014,180000,5,1,26.6755114503817
120,75,2,7,1,2,1,1,2,2021,300000,2,1,10.14123
121,76,2,7,2,2,1,1,2,2021,200000,2,1,90.2549166666667
122,77,2,7,2,2,1,1,2,2021,0,4,1,53.5930577507599
123,78,2,7,1,2,2,1,2,2012,250000,5,1,6.04231948051948
124,79,2,7,1,2,1,1,2,2021,0,2,1,7.471653
125,80,2,7,2,2,1,1,2,2022,250000,2,1,100.539116883117
126,81,2,7,1,2,1,1,2,2021,300000,2,1,16.0080777777778
127,82,2,8,2,2,2,1,2,2018,888,3,1,60.01412
128,83,2,8,1,2,1,1,2,2021,0,2,1,4.83481479713604
129,84,2,8,2,2,2,1,2,2019,300000,5,1,72.9900818181818
130,85,2,8,1,2,1,1,2,2021,300000,2,1,9.81552
131,86,2,8,2,2,1,1,1,2009,0,2,1,82.8797946428571
132,87,2,8,2,2,1,1,2,2021,250000,2,1,95.6783076923077
134,88,2,8,1,2,1,1,2,2021,250000,4,1,5.43553831877729
137,89,3,1,1,2,1,1,2,2020,0,2,1,23.9924330935252
