"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","B01","B02","B02_OTHER","B03","B04","B05","B05_OTHER","B06_1","B06_2","B06_3","B06_4","B06_5","B06_OTHER","B07_1","B07_2","B07_3","B07_4","B07_OTHER","B08_01","B08_02","B08_03","B08_04","B08_05","B08_06","B08_07","B08_08","B08_09","B08_10","B08_11","B08_12","B08_13","B08_14","B08_15","B08_OTHER","B09","B10","B11_01","B11_02","B11_03","B11_04","B11_05","B11_06","B11_07","B11_08","B11_09","B11_10","B11_11","B11_12","B11_13","B11_OTHER","B12","B13","B14","hhid","camp","ref_weight"
1,11,1,1,1,1,400.7663,"01",1,,,,5,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,2,110100101,,
1,11,1,1,3,1,400.7663,"02",1,,,,5,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,2,2,110100301,,
1,11,1,1,4,1,400.7663,"02",1,,,,5,,1,,,,,,,,,555,4,,,,,,,,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,1,110100401,,
1,11,1,1,7,1,400.7663,"02",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,3,2,110100701,,
1,11,1,1,8,1,400.7663,"02",1,,,,5,,,,,111,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,2,1,110100801,,
1,11,1,1,9,1,400.7663,"02",1,,,,5,,1,1,,,,,1,1,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,2,2,110100901,,
1,11,1,1,10,1,400.7663,"02",1,,,,5,,1,,,,,,,,,555,4,,,,,,,,,,1,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,2,110101001,,
1,11,1,1,11,1,400.7663,"02",1,,,,5,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,1,110101101,,
1,11,1,1,13,1,50.5471009009009,"01",7,,,,5,,,,,,555,9,1,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,2,110101301,,
1,11,1,1,14,1,400.7663,"01",1,,,,4,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,3,1,110101401,,
1,11,1,1,15,1,400.7663,"01",1,,,,5,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,2,2,110101501,,
1,11,1,1,16,1,400.7663,"01",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,2,110101601,,
1,11,1,1,17,1,400.7663,"01",1,,,,5,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,1,1,,,,,1,,,,,2,1,110101701,,
1,11,1,1,19,1,400.7663,"01",1,,,,5,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,1,110101901,,
1,11,1,1,20,1,400.7663,"01",1,,,,5,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,2,110102001,,
1,11,2,2,1,1,221.941,"01",1,,0,0,1,,,,,111,,,,,,555,3,,,,,,,,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,2,1,110200101,,
1,11,2,2,2,1,221.941,"02",1,,2,1,5,,,,,111,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,1,2,1,110200201,,
1,11,2,2,3,1,105.421975,"01",11,,0,0,1,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,2,2,1,110200301,,
1,11,2,2,4,1,105.421975,"01",7,,0,0,1,,,,,111,,,1,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,1,2,1,110200401,,
1,11,2,2,5,1,105.421975,"01",7,,0,0,1,,,,,111,,,1,,,,,,,,1,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,1,2,1,110200501,,
1,11,2,2,6,1,105.421975,"01",9,,0,0,5,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,1,,,,,,,,,,2,3,1,110200601,,
