"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","F02","F03","F03_OTHER1","F04","F04_OTHER","F05","F06","F07","F08A","F08B","F08_OTHER","F09_1","F09_2","F09_3","F09_4","F09_5","F09_6","F09_7","F09_8","F09_9","hhid","camp","ref_weight"
1,1,400.7663,1,11,1,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110100101,,
1,1,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110100101,,
1,1,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110100101,,
1,1,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110100101,,
1,1,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110100101,,
1,3,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110100301,,
1,3,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110100301,,
1,3,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110100301,,
1,3,400.7663,1,11,1,1,1,0," ",," ",,,,,,,,,,,,,,,,110100301,,
1,3,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110100301,,
1,4,400.7663,1,11,1,1,1,1," ",," ",,1,1,4,111,,,,,,,,,,,110100401,,
1,4,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110100401,,
1,4,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110100401,,
1,4,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110100401,,
1,4,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110100401,,
1,7,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110100701,,
1,7,400.7663,1,11,1,1,1,0," ",," ",,,,,,,,,,,,,,,,110100701,,
1,7,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110100701,,
1,7,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110100701,,
1,7,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110100701,,
1,8,400.7663,1,11,1,1,1,1," ",," ",,2,1,111,111,,,,,,,,,,,110100801,,
1,8,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110100801,,
1,8,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110100801,,
1,8,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110100801,,
1,8,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110100801,,
1,9,400.7663,1,11,1,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110100901,,
1,9,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110100901,,
1,9,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110100901,,
1,9,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110100901,,
1,9,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110100901,,
1,10,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101001,,
1,10,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101001,,
1,10,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101001,,
1,10,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101001,,
1,10,400.7663,1,11,1,1,1,0," ",," ",,,,,,,,,,,,,,,,110101001,,
1,11,400.7663,1,11,1,1,1,1," ",," ",,2,1,111,111,,,,,,,,,,,110101101,,
1,11,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101101,,
1,11,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101101,,
1,11,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101101,,
1,11,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101101,,
1,13,50.5471009009009,1,11,1,1,1,1," ",," ",,30,1,4,111,,,,,,,,,,,110101301,,
1,13,50.5471009009009,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101301,,
1,13,50.5471009009009,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101301,,
1,13,50.5471009009009,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101301,,
1,13,50.5471009009009,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101301,,
1,14,400.7663,1,11,1,1,1,1," ",," ",,1,1,4,111,,,,,,,,,,,110101401,,
1,14,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101401,,
1,14,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101401,,
1,14,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101401,,
1,14,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101401,,
1,15,400.7663,1,11,1,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110101501,,
1,15,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101501,,
1,15,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101501,,
1,15,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101501,,
1,15,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101501,,
1,16,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101601,,
1,16,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101601,,
1,16,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101601,,
1,16,400.7663,1,11,1,1,1,0," ",," ",,,,,,,,,,,,,,,,110101601,,
1,16,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101601,,
1,17,400.7663,1,11,1,1,1,0," ",," ",,,,,,,,,,,,,,,,110101701,,
1,17,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101701,,
1,17,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101701,,
1,17,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101701,,
1,17,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101701,,
1,19,400.7663,1,11,1,1,1,1," ",," ",,2,1,111,111,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,20,400.7663,1,11,1,1,1,1," ",," ",,1,1,4,111,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110102001,,
2,1,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,2,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,3,105.421975,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200301,,
2,3,105.421975,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200301,,
2,3,105.421975,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200301,,
