Country,Scenario,Description,Default_rate,Hardening_cost,Eta,Delta,Lift,Principal_mode,Financing_share,Hardening_share,No_viable_share,Mean_mR,Connected_weight
Rwanda,Baseline,Baseline calibration,0.15,100000,0.6,0.2,0.18339567813502683,False,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,Adverse finance,"Low credit lift, high default risk, no guarantee",0.25,100000,0.6,0.2,0.01,True,50.852698933147664,33.82614249993127,15.321158566921056,0.964767393980372,1520387.9078892116
Rwanda,Adverse hardening,High hardening cost and low hardening effectiveness,0.15,500000,0.6,0.1,0.18339567813502683,False,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,Hardening-favourable,"Low hardening cost, high hardening effectiveness, high reliability sensitivity",0.15,100000,2.0,0.5,0.18339567813502683,False,72.05717231440329,12.621669118675626,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,Financing-favourable,"Low default risk, guarantee retained, empirical credit lift",0.05,100000,0.6,0.2,0.18339567813502683,False,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,Behaviourally conservative,High reliability sensitivity and credit lift reduced by 50%,0.15,100000,2.0,0.2,0.09169783906751341,False,71.28903437872256,13.389807054356384,15.321158566921056,0.964767393980372,1520387.9078892116
North-West Nigeria,Baseline,Baseline calibration,0.15,100000,0.6,0.2,0.2363783805976269,False,52.06819921946024,47.01445832076766,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,Adverse finance,"Low credit lift, high default risk, no guarantee",0.25,100000,0.6,0.2,0.01,True,0.7000234852894327,98.38263405493846,0.9173424597721004,0.6256495501963971,3284361.25
North-West Nigeria,Adverse hardening,High hardening cost and low hardening effectiveness,0.15,500000,0.6,0.1,0.2363783805976269,False,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,Hardening-favourable,"Low hardening cost, high hardening effectiveness, high reliability sensitivity",0.15,100000,2.0,0.5,0.2363783805976269,False,18.34142230279553,80.74123523743238,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,Financing-favourable,"Low default risk, guarantee retained, empirical credit lift",0.05,100000,0.6,0.2,0.2363783805976269,False,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,Behaviourally conservative,High reliability sensitivity and credit lift reduced by 50%,0.15,100000,2.0,0.2,0.11818919029881345,False,20.407109226929265,78.67554831329863,0.9173424597720969,0.6256495501963971,3284361.25
