Country,Scenario,Description,Default_rate,Hardening_cost,Eta,Delta,Lift,Principal_mode,Financing_share,Hardening_share,No_viable_share,Mean_mR,Connected_weight
Rwanda,Baseline,Baseline calibration,0.15,100000,0.6,0.2,0.18339567813502683,False,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,Adverse finance,"Low credit lift, high default risk, no guarantee",0.25,100000,0.6,0.2,0.01,True,0.5085269893314767,0.3382614249993127,0.15321158566921056,0.964767393980372,1520387.9078892116
Rwanda,Adverse hardening,High hardening cost and low hardening effectiveness,0.15,500000,0.6,0.1,0.18339567813502683,False,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,Hardening-favourable,"Low hardening cost, high hardening effectiveness, high reliability sensitivity",0.15,100000,2.0,0.5,0.18339567813502683,False,0.720571723144033,0.12621669118675627,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,Financing-favourable,"Low default risk, guarantee retained, empirical credit lift",0.05,100000,0.6,0.2,0.18339567813502683,False,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,Behaviourally conservative,High reliability sensitivity and credit lift reduced by 50%,0.15,100000,2.0,0.2,0.09169783906751341,False,0.7128903437872256,0.13389807054356384,0.15321158566921056,0.964767393980372,1520387.9078892116
North-West Nigeria,Baseline,Baseline calibration,0.15,100000,0.6,0.2,0.2363783805976269,False,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,Adverse finance,"Low credit lift, high default risk, no guarantee",0.25,100000,0.6,0.2,0.01,True,0.0070002348528943265,0.9838263405493847,0.009173424597721004,0.6256495501963971,3284361.25
North-West Nigeria,Adverse hardening,High hardening cost and low hardening effectiveness,0.15,500000,0.6,0.1,0.2363783805976269,False,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,Hardening-favourable,"Low hardening cost, high hardening effectiveness, high reliability sensitivity",0.15,100000,2.0,0.5,0.2363783805976269,False,0.1834142230279553,0.8074123523743237,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,Financing-favourable,"Low default risk, guarantee retained, empirical credit lift",0.05,100000,0.6,0.2,0.2363783805976269,False,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,Behaviourally conservative,High reliability sensitivity and credit lift reduced by 50%,0.15,100000,2.0,0.2,0.11818919029881345,False,0.20407109226929265,0.7867554831329864,0.00917342459772097,0.6256495501963971,3284361.25
